ID	ID.1	baseMean	log2FoldChange	padj	Label	Level
32	ERRFI1	3247.4	-2.4	1.367e-23	-	groupB UP
33	KLF15	561.7	-4.5	1.695e-23	-	groupB UP
34	CACNB2	559.4	-3.1	1.933e-22	-	groupB UP
35	SERPINA3	2707.5	-3.3	1.28e-21	-	groupB UP
36	RAP2B	651.2	1.2	1.776e-21	-	groupA UP
37	IRS2	2184.9	-2.1	9.158e-21	-	groupB UP
38	KLF9	1700.1	-2.1	1.039e-20	-	groupB UP
39	HPS5	1002.7	-1.6	1.489e-20	-	groupB UP
40	CRISPLD2	3092.4	-2.6	2.782e-20	-	groupB UP
41	TSLP	151.8	2.7	3.043e-20	-	groupA UP
42	GPX3	12475.1	-3.7	3.301e-20	-	groupB UP
43	MFAP4	27096.7	0.9	7.621e-20	-	NoDiff
44	TENT5B	70	-2.3	1.094e-19	-	groupB UP
45	COL1A1	100416	1.2	1.418e-19	-	groupA UP
46	PHLDA1	2774.5	1	1.72e-19	-	groupA UP
47	CDIPT	3322.3	-0.8	2.283e-19	-	NoDiff
48	JADE1	1754.1	-1.2	4.006e-19	-	groupB UP
49	DNM1	1032.1	1.9	4.343e-19	-	groupA UP
50	ABAT	524.1	-1	7.431e-19	-	groupB UP
51	ANXA6	14124.5	-0.9	9.717e-19	-	NoDiff
52	IMPA2	612	-2.2	1.506e-18	-	groupB UP
53	SLC6A6	731.2	1.9	2.016e-18	-	groupA UP
54	APBB2	2407.2	-1	2.392e-18	-	groupB UP
55	MT1E	554.1	-2.1	3.576e-18	-	groupB UP
56	TSC22D3	2228.3	-3.3	6.358e-18	-	groupB UP
57	SOX4	1275.1	2.3	8.709e-18	-	groupA UP
58	FZD8	145.4	-2.4	1.297e-17	-	groupB UP
59	STEAP2	3039.9	-2	1.995e-17	-	groupB UP
60	HIGD1A	2414.2	-1.2	3.922e-17	-	groupB UP
61	CEBPD	1940.3	-1.5	5.571e-17	-	groupB UP
62	ANXA4	4884	-1.1	6.506e-17	-	groupB UP
63	ACSL1	1456	-1.6	8.879e-17	-	groupB UP
64	CREB3L1	2767.2	0.9	8.879e-17	-	NoDiff
65	SLC7A6	1677.2	-1.4	1.049e-16	-	groupB UP
66	CRABP2	1494.1	1.7	1.094e-16	-	groupA UP
67	MINDY2	1478.2	-1	1.343e-16	-	groupB UP
68	TMEM200A	806.6	1.1	2.087e-16	-	groupA UP
69	FGD4	1201.9	-2.1	2.111e-16	-	groupB UP
70	DNAJB4	1455.2	-1.3	2.464e-16	-	groupB UP
71	MARCH10	67.6	-3.7	3.538e-16	-	groupB UP
72	C14orf132	4585.9	1	3.689e-16	-	groupA UP
73	TMEM119	2974.4	1.1	3.878e-16	-	groupA UP
74	ALOX15B	67	-9.6	4.891e-16	-	groupB UP
75	CFLAR	3087.5	-1.1	5.619e-16	-	groupB UP
76	AC079467.1	47	-5.9	9.172e-16	-	groupB UP
77	ADAMTS1	29582.9	-2.2	9.733e-16	-	groupB UP
78	TBX18	2652.1	1.6	1.004e-15	-	groupA UP
79	DCXR	598.2	-1.9	1.368e-15	-	groupB UP
80	METTL7A	3904.9	-2.2	1.395e-15	-	groupB UP
81	TGFBR2	13283.3	-1.4	1.524e-15	-	groupB UP
82	CCDC107	535.8	-1	2.403e-15	-	groupB UP
83	CREB5	690.2	2.1	3.087e-15	-	groupA UP
84	SLC45A1	168.3	-1.3	3.579e-15	-	groupB UP
85	TCEAL4	3065.7	-1.5	4.132e-15	-	groupB UP
86	CORO6	1982.8	-2.4	5.046e-15	-	groupB UP
87	SORT1	5538.1	-2.2	6.21e-15	SORT1	groupB UP
88	PREPL	1703.4	0.7	7.902e-15	-	NoDiff
89	ZRANB1	2005.5	-0.9	8.696e-15	-	NoDiff
90	AP1M1	2226.3	-1.1	9.492e-15	-	groupB UP
91	TRNP1	1040.6	-1.9	1.096e-14	-	groupB UP
92	TST	316.6	-1.3	1.287e-14	-	groupB UP
93	GADD45B	367.4	-1.4	1.38e-14	-	groupB UP
94	FOXO1	683.6	-2.3	1.86e-14	-	groupB UP
95	AOPEP	661.2	-1.2	2.2e-14	-	groupB UP
96	MIR22HG	1376.6	-0.9	3.767e-14	-	NoDiff
97	RBPMS	3363.5	-0.8	3.903e-14	-	NoDiff
98	HMGA2-AS1	234.3	-2.4	4.158e-14	-	groupB UP
99	TRIM45	146.8	2	8.236e-14	-	groupA UP
100	LRRTM2	65.1	4.5	9.233e-14	-	groupA UP
101	TENT5A	517.5	1.1	1.749e-13	-	groupA UP
102	ARPC5	2615.4	-0.9	1.839e-13	-	NoDiff
103	SYN2	40.1	-3.8	1.875e-13	-	groupB UP
104	ADRA1B	209.3	-3.8	2.24e-13	-	groupB UP
105	KCTD9	1761.4	-0.7	2.444e-13	-	NoDiff
106	AMOT	405.1	2.5	2.453e-13	-	groupA UP
107	LHFPL6	3023.3	-0.7	2.528e-13	-	NoDiff
108	ENDOD1	2040.8	-1.9	2.783e-13	-	groupB UP
109	ADAMTS14	756.4	2.3	2.909e-13	-	groupA UP
110	WASF3	1281.6	-1	3.628e-13	-	groupB UP
111	PDLIM5	1316.9	-1.5	3.688e-13	-	groupB UP
112	TUBA4A	246.9	1.6	5.06e-13	-	groupA UP
113	TXNRD1	22478.2	-1.4	5.268e-13	-	groupB UP
114	FOXO3	5254.9	-1.2	5.494e-13	-	groupB UP
115	PRSS35	308.9	2.6	6.889e-13	-	groupA UP
116	SVIL	8994	0.6	7.76e-13	-	NoDiff
117	SAT1	4067.9	-1.3	8.22e-13	-	groupB UP
118	LINC00968	2065.6	-1.9	9.199e-13	-	groupB UP
119	CCN3	439.3	2.5	1.082e-12	-	groupA UP
120	NSMF	1584.1	-1	1.19e-12	-	groupB UP
121	TSC22D1	5269.6	-1.1	1.27e-12	-	groupB UP
122	TJP2	5724.9	-2	2.29e-12	-	groupB UP
123	UHMK1	2995.7	-0.6	2.314e-12	-	NoDiff
124	CCND3	639.8	-1.1	2.433e-12	-	groupB UP
125	MYADM	5290	-1.4	2.775e-12	-	groupB UP
126	LTBP1	20268.4	-0.7	3.548e-12	-	NoDiff
127	SELENOS	803.9	-0.6	4.575e-12	-	NoDiff
128	TLN1	19756.4	-0.6	4.575e-12	-	NoDiff
129	MFGE8	9500.5	-1.1	4.708e-12	-	groupB UP
130	FPGS	1033.3	-0.7	5.402e-12	-	NoDiff
131	QPRT	855.9	1.1	6.524e-12	-	groupA UP
132	SAMD4A	3115.6	-1.2	9.686e-12	-	groupB UP
133	PRKAA1	2359.8	-0.7	1.124e-11	-	NoDiff
134	TRPC6	650.1	-1.9	1.132e-11	-	groupB UP
135	SLC5A6	445.6	-1.2	1.401e-11	-	groupB UP
136	CHST7	446.7	-1.5	1.401e-11	-	groupB UP
137	USP33	2731.2	-0.8	1.83e-11	-	NoDiff
138	PEAK1	8109.7	-1	1.943e-11	-	groupB UP
139	TEX2	3711	-1.5	2e-11	-	groupB UP
140	KCNK6	908.3	-2.7	2.353e-11	-	groupB UP
141	ZHX3	3427.3	-1.1	2.456e-11	-	groupB UP
142	TENT5C	90	2.4	2.727e-11	-	groupA UP
143	DBP	98.7	1.5	3.645e-11	-	groupA UP
144	PPP1R12C	2555.2	-0.6	5.681e-11	-	NoDiff
145	TP53BP1	2076.3	0.6	5.83e-11	-	NoDiff
146	MMD	1729.8	-1.6	7.169e-11	-	groupB UP
147	TLDC2	41.6	-3.9	7.833e-11	-	groupB UP
148	ADAM12	1359.8	1.8	8.162e-11	-	groupA UP
149	RAD1	1034.4	-0.7	9.48e-11	-	NoDiff
150	LINC00906	31	5.2	1.024e-10	-	groupA UP
151	RND2	203.5	2.1	1.098e-10	-	groupA UP
152	MPP3	147.7	-1.6	1.122e-10	-	groupB UP
153	EXT1	5253.2	0.8	1.13e-10	-	NoDiff
154	SAP30	528	-1.2	1.149e-10	-	groupB UP
155	AIFM2	588.5	-0.6	1.271e-10	-	NoDiff
156	MARCKS	5621.9	1.1	1.387e-10	-	groupA UP
157	ARSK	495.1	-0.8	1.476e-10	-	NoDiff
158	ROCK2	4531.1	-0.7	1.578e-10	-	NoDiff
159	PTEN	2231.9	0.5	1.687e-10	-	NoDiff
160	ARMC8	974.8	-1.1	1.763e-10	-	groupB UP
161	COL7A1	1556.6	-1.2	1.861e-10	-	groupB UP
162	AGTRAP	745.4	-1.1	2.129e-10	-	groupB UP
163	RGL1	1068.6	1	2.141e-10	-	groupA UP
164	INHBB	416.8	-3.6	2.659e-10	-	groupB UP
165	LMCD1	4016	-1.6	2.935e-10	-	groupB UP
166	SMARCD2	2165.8	-1.2	2.935e-10	-	groupB UP
167	LAMA2	17949.6	-2	3.215e-10	-	groupB UP
168	TCEAL1	442.7	-1	3.346e-10	-	groupB UP
169	CIT	305.8	1.7	3.52e-10	-	groupA UP
170	LHFPL2	2009.7	1.2	3.529e-10	-	groupA UP
171	GALM	522.9	1	4.013e-10	-	groupA UP
172	STARD7	3682.5	-1.2	4.516e-10	-	groupB UP
173	TWIST2	4620	-0.7	4.651e-10	-	NoDiff
174	CLIC2	399.7	1.2	4.962e-10	CLIC2	groupA UP
175	ASNS	384.2	1.1	5.115e-10	-	groupA UP
176	THBS1	94773.3	-1.9	5.2e-10	-	groupB UP
177	FLRT3	181.4	2.4	5.319e-10	-	groupA UP
178	STEAP4	465.3	-4.8	6.046e-10	-	groupB UP
179	KLF6	3224.3	-1	6.16e-10	-	groupB UP
180	ECHDC1	1538.1	-0.8	6.733e-10	-	NoDiff
181	SQOR	2358.1	-1	6.733e-10	-	groupB UP
182	PRRX1	5513.7	0.7	7.131e-10	-	NoDiff
183	SLC4A7	2330.1	1	7.342e-10	-	groupA UP
184	CPPED1	781.8	-0.9	7.44e-10	-	NoDiff
185	LDB2	702.6	1.2	7.44e-10	-	groupA UP
186	RHOB	3286.7	-1.2	7.66e-10	-	groupB UP
187	GLRX	1965.5	-1	8.872e-10	-	groupB UP
188	PER3	251.8	2.2	8.876e-10	-	groupA UP
189	KLHL42	1022.1	-1	9.197e-10	-	groupB UP
190	HACD1	285.1	-1	9.683e-10	-	groupB UP
191	DCUN1D3	577.6	-0.7	1.071e-09	-	NoDiff
192	SMAD1	429.9	1	1.194e-09	-	groupA UP
193	SUN2	3860.3	-1.7	1.252e-09	-	groupB UP
194	MAFF	640.6	-1.2	1.484e-09	-	groupB UP
195	PTX3	9832	-2.2	1.493e-09	-	groupB UP
196	NCOA3	1616.7	-1.3	1.657e-09	-	groupB UP
197	CTPS1	724.3	-1.6	1.736e-09	-	groupB UP
198	NAMPT	2547.6	-0.9	1.903e-09	-	NoDiff
199	LRRFIP2	2111.4	-0.7	1.929e-09	-	NoDiff
200	PTPDC1	308.1	-0.9	1.929e-09	-	NoDiff
201	PCYT2	530.2	-1	1.961e-09	-	groupB UP
202	CDV3	4859	-0.7	2.138e-09	-	NoDiff
203	RHEB	2213.7	-1	2.563e-09	-	groupB UP
204	BNC2	2823.1	1	2.563e-09	-	groupA UP
205	ATP2A2	10583.5	-1.3	2.563e-09	-	groupB UP
206	C4orf46	588.5	1.3	2.563e-09	-	groupA UP
207	PCDH18	6504.8	0.9	2.653e-09	-	NoDiff
208	TMEM26	73.5	1.9	2.99e-09	-	groupA UP
209	TMEM150A	488.4	-0.9	3.387e-09	-	NoDiff
210	PXDC1	1497.9	-1.4	3.387e-09	-	groupB UP
211	CXCL12	27566.3	1.8	3.626e-09	-	groupA UP
212	WARS	2846.6	1.4	4.18e-09	-	groupA UP
213	ZYX	9291.3	-0.7	4.392e-09	-	NoDiff
214	SSH2	2083	-1.1	4.566e-09	-	groupB UP
215	FER1L6	254.5	3.1	4.867e-09	-	groupA UP
216	SHMT1	149.3	-1.1	6.368e-09	-	groupB UP
217	PGBD5	151.8	2.6	6.368e-09	-	groupA UP
218	GALNT16	543.8	1	6.412e-09	-	groupA UP
219	AQP3	137.8	2.9	6.479e-09	-	groupA UP
220	XPC	1809.5	0.5	6.523e-09	-	NoDiff
221	XAF1	456.2	0.9	6.766e-09	-	NoDiff
222	PPP1R14A	207.2	-2.7	7.093e-09	-	groupB UP
223	TTC39C	586.2	-0.8	7.444e-09	-	NoDiff
224	UGP2	3269.8	-1	7.689e-09	-	groupB UP
225	RWDD4	1068	-1.1	7.689e-09	-	groupB UP
226	NYNRIN	1596.1	1.1	7.97e-09	-	groupA UP
227	IL16	886.6	-1	8.186e-09	-	groupB UP
228	GCLM	1941	-1.2	8.581e-09	-	groupB UP
229	EOGT	1789.9	-1.2	8.581e-09	-	groupB UP
230	SYNPO2	9159	-1.7	8.581e-09	-	groupB UP
231	PYGB	3029.3	-0.6	8.847e-09	-	NoDiff
232	NKD1	296.1	-2.6	9.124e-09	-	groupB UP
233	OMG	299.7	1.6	1.082e-08	-	groupA UP
234	NR4A3	216.3	-2.1	1.178e-08	-	groupB UP
235	RTKN2	118.7	1.8	1.245e-08	-	groupA UP
236	SRF	1295.3	-0.9	1.269e-08	-	NoDiff
237	REV3L	8301.1	-1	1.319e-08	-	groupB UP
238	DAAM2	2590.7	-1.6	1.338e-08	-	groupB UP
239	ORMDL1	1813.5	-1	1.446e-08	-	groupB UP
240	ZBTB47	2705.2	-0.7	1.463e-08	-	NoDiff
241	MAP3K8	507	-1	1.596e-08	-	groupB UP
242	BRCA1	225.9	1.1	1.804e-08	-	groupA UP
243	TUT7	1496.9	-1.2	1.804e-08	-	groupB UP
244	LARP4	1029	-0.8	1.804e-08	-	NoDiff
245	TCEAL3	995.2	-1	1.804e-08	-	groupB UP
246	MIR99AHG	142.3	1.4	1.821e-08	-	groupA UP
247	ERGIC1	6803	-0.7	1.866e-08	-	NoDiff
248	GDF15	450.3	1.9	1.916e-08	-	groupA UP
249	ARPC4	2013.7	-0.5	1.918e-08	-	NoDiff
250	CENPP	131.8	1.7	2.116e-08	-	groupA UP
251	RASGRP2	90.5	-1.7	2.119e-08	-	groupB UP
252	SLC35G2	240.2	-0.8	2.181e-08	-	NoDiff
253	CES2	1288.6	0.5	2.216e-08	-	NoDiff
254	RPS6KA5	163.2	2	2.329e-08	-	groupA UP
255	COL4A1	2305.3	-1.4	2.425e-08	-	groupB UP
256	MAVS	2943	-0.6	2.584e-08	-	NoDiff
257	AC008522.1	446.9	0.9	2.719e-08	-	NoDiff
258	CARMIL1	1510.4	-1.1	3.041e-08	-	groupB UP
259	BDKRB2	6087.6	1.9	3.112e-08	-	groupA UP
260	ANGPTL2	6411	0.8	3.241e-08	-	NoDiff
261	AC007325.2	36.7	-7.2	3.296e-08	-	groupB UP
262	HSD17B11	1522.4	-0.7	3.424e-08	-	NoDiff
263	TMEM50A	2528.6	-0.7	3.489e-08	-	NoDiff
264	MGAT1	5431.2	-0.8	3.493e-08	-	NoDiff
265	GLS	4260.1	-1.1	3.681e-08	-	groupB UP
266	PPTC7	521.4	-1.2	4.285e-08	-	groupB UP
267	DUSP10	324.8	1.3	4.492e-08	-	groupA UP
268	CORIN	178.5	-2	4.615e-08	-	groupB UP
269	AMPH	359.4	-1.1	4.813e-08	-	groupB UP
270	STON1	1792.8	-1.3	4.942e-08	-	groupB UP
271	PRODH	45.9	-4	5.172e-08	-	groupB UP
272	POLD4	680.6	-0.9	5.186e-08	-	NoDiff
273	ABLIM1	847.4	-1.4	5.249e-08	-	groupB UP
274	PIK3R1	3368.3	-1.5	5.335e-08	-	groupB UP
275	RAF1	2860.2	-0.8	5.461e-08	-	NoDiff
276	AASS	702.6	-1.1	5.497e-08	-	groupB UP
277	KLHDC3	1014.4	-0.6	5.581e-08	-	NoDiff
278	MARCKSL1	620.3	1.1	5.628e-08	-	groupA UP
279	NEK11	181.3	1.1	5.822e-08	-	groupA UP
280	SLC22A23	203.6	1.3	6.1e-08	-	groupA UP
281	ANXA2	25251.7	-0.6	6.318e-08	-	NoDiff
282	ADH1B	44799.8	-1.1	6.399e-08	-	groupB UP
283	ACSS1	661.4	-1.8	6.499e-08	-	groupB UP
284	ZNF521	935	0.9	6.775e-08	-	NoDiff
285	LAMB1	31051.6	-0.8	6.837e-08	-	NoDiff
286	ARHGEF28	626.8	-1.1	7.05e-08	-	groupB UP
287	HMGB2	1064.6	-1.2	8.402e-08	-	groupB UP
288	TRERF1	473.9	0.7	8.48e-08	-	NoDiff
289	ELF1	1408.1	-0.8	8.85e-08	-	NoDiff
290	NID1	9499.5	-1.5	9.85e-08	-	groupB UP
291	GNB4	1891.4	-0.9	9.908e-08	-	NoDiff
292	SHB	336.5	0.9	1.011e-07	-	NoDiff
293	BCL6	1819.8	-0.8	1.043e-07	-	NoDiff
294	CLDN11	3429.7	1.6	1.055e-07	-	groupA UP
295	FZD5	54.8	-2.4	1.1e-07	-	groupB UP
296	HSPA12B	64.8	2.2	1.157e-07	-	groupA UP
297	MYC	732.2	-0.8	1.256e-07	-	NoDiff
298	CITED2	7382.8	-1.5	1.352e-07	-	groupB UP
299	TANK	1167	-0.5	1.387e-07	-	NoDiff
300	GPX8	3488.8	0.4	1.387e-07	-	NoDiff
301	HS3ST3B1	322	-0.9	1.394e-07	-	NoDiff
302	AC037198.2	83	-1.7	1.43e-07	-	groupB UP
303	OXSR1	1225.2	-0.4	1.445e-07	-	NoDiff
304	DANCR	222.6	-1.1	1.482e-07	-	groupB UP
305	ADM2	61.4	2.5	1.509e-07	-	groupA UP
306	AXIN2	475.4	-1.2	1.537e-07	-	groupB UP
307	GPR68	60.4	3.1	1.603e-07	-	groupA UP
308	FAM129B	17868.9	-0.6	1.603e-07	-	NoDiff
309	DEPP1	18422.1	-1.6	1.723e-07	-	groupB UP
310	PLA2G4A	112.2	2.4	1.747e-07	-	groupA UP
311	MSRB3	3080.8	-0.7	2.061e-07	-	NoDiff
312	SPRED2	879.2	-0.6	2.103e-07	-	NoDiff
313	SENP7	325.6	0.7	2.179e-07	-	NoDiff
314	TPM4	50335.2	-0.7	2.282e-07	-	NoDiff
315	DUSP23	154.9	-1.3	2.342e-07	-	groupB UP
316	NSG1	15	4	2.489e-07	-	groupA UP
317	GCHFR	79.5	-1.7	2.527e-07	-	groupB UP
318	SLC35D1	633	-0.8	2.555e-07	-	NoDiff
319	SLC38A2	20153.1	-1.1	2.63e-07	-	groupB UP
320	GCH1	85.3	-1.6	2.676e-07	-	groupB UP
321	NUDCD1	248.5	-0.7	2.74e-07	-	NoDiff
322	SLC16A12	49.1	-4	2.943e-07	-	groupB UP
323	GDNF	230.7	-1.9	2.969e-07	-	groupB UP
324	RAPGEF5	127.4	-3.4	3.03e-07	-	groupB UP
325	ATP11C	1382.4	-0.5	3.248e-07	-	NoDiff
326	ALDH3A2	937.6	0.9	3.33e-07	-	NoDiff
327	TACC1	8573.1	-0.8	3.498e-07	-	NoDiff
328	GLCE	1483	-0.9	3.914e-07	-	NoDiff
329	DPYSL3	4716.3	0.5	4.306e-07	-	NoDiff
330	CMTM6	2254	-0.6	4.787e-07	-	NoDiff
331	PPP1CB	4911.9	-0.9	4.787e-07	-	NoDiff
332	DAAM1	770.4	1.1	5.045e-07	-	groupA UP
333	ADAMTS2	4525.4	-0.7	5.225e-07	-	NoDiff
334	DDIT3	630.7	1	5.372e-07	-	groupA UP
335	TMEM19	731.1	-0.7	5.375e-07	-	NoDiff
336	EGR2	17	3.1	5.39e-07	-	groupA UP
337	PAFAH1B3	81.8	1.1	5.778e-07	-	groupA UP
338	NFIL3	1438.2	-1.1	5.799e-07	-	groupB UP
339	NEDD9	1859.2	-1.6	6.116e-07	-	groupB UP
340	ALPK3	68.4	-3	6.128e-07	-	groupB UP
341	AC026464.4	545.2	-0.5	6.317e-07	-	NoDiff
342	TM7SF3	1464.6	-0.9	6.342e-07	-	NoDiff
343	BDKRB1	206	1.8	6.366e-07	-	groupA UP
344	CALCOCO2	3088.5	-1	6.395e-07	-	groupB UP
345	RASL11A	903	-2.2	6.406e-07	-	groupB UP
346	CUL7	1205.6	0.4	6.89e-07	-	NoDiff
347	ELOVL1	1022.3	-0.5	7.174e-07	-	NoDiff
348	CYTH3	3723	-1.2	7.878e-07	-	groupB UP
349	BAIAP2-DT	478.8	0.5	8.098e-07	-	NoDiff
350	TUBA1A	8256	1.2	8.286e-07	-	groupA UP
351	ALDH6A1	677.2	-1.1	8.568e-07	-	groupB UP
352	RAB11FIP4	40.7	1.8	8.577e-07	-	groupA UP
353	SHMT2	1336.9	0.6	8.913e-07	-	NoDiff
354	RAC3	72.3	-1.3	9.327e-07	-	groupB UP
355	SH3D19	5943.3	-0.7	9.411e-07	-	NoDiff
356	COL3A1	82843.9	0.8	9.411e-07	-	NoDiff
357	TRAK2	5282.8	-0.9	9.414e-07	-	NoDiff
358	AMOTL2	3687.2	-0.9	9.578e-07	-	NoDiff
359	ZNF326	898.2	0.5	1.076e-06	-	NoDiff
360	YIF1B	614.5	-1.1	1.077e-06	-	groupB UP
361	CARF	239.7	0.8	1.125e-06	-	NoDiff
362	MT1M	45.6	-2.5	1.125e-06	-	groupB UP
363	LIF	165.7	2.4	1.205e-06	-	groupA UP
364	RGMB-AS1	176.1	1.4	1.214e-06	-	groupA UP
365	CBX5	2218.7	0.6	1.222e-06	-	NoDiff
366	ULK2	1545.9	-1.2	1.239e-06	-	groupB UP
367	AKAP2	7589.8	-1.1	1.277e-06	-	groupB UP
368	NUAK1	419.3	-1.3	1.279e-06	-	groupB UP
369	ANPEP	4186.2	-1.1	1.289e-06	-	groupB UP
370	UBB	7961.9	0.4	1.449e-06	-	NoDiff
371	EMP1	5850.3	-0.9	1.465e-06	-	NoDiff
372	TM4SF1	958.6	-1.1	1.51e-06	-	groupB UP
373	CRYBG3	1668.6	0.7	1.517e-06	-	NoDiff
374	AC096921.2	31.2	-2.4	1.578e-06	-	groupB UP
375	ZDHHC12	282.8	-0.9	1.6e-06	-	NoDiff
376	C1QTNF1	990.3	-1.2	1.661e-06	-	groupB UP
377	VKORC1L1	1011.4	-0.6	1.661e-06	-	NoDiff
378	NADK	1684.6	-0.8	1.742e-06	-	NoDiff
379	SLC39A13	3021	-0.6	1.742e-06	-	NoDiff
380	LOXL1	4120.2	0.5	1.743e-06	-	NoDiff
381	FSTL3	1784.4	-1.7	1.778e-06	-	groupB UP
382	ZDHHC9	1588	-0.7	1.795e-06	-	NoDiff
383	ARL6IP5	5758.3	-0.5	1.844e-06	-	NoDiff
384	GALNT15	13884.4	-1.5	1.846e-06	-	groupB UP
385	MAFK	797	-0.8	1.937e-06	-	NoDiff
386	CD302	3721.2	-1.8	1.943e-06	-	groupB UP
387	SGTB	560.2	-0.8	1.98e-06	-	NoDiff
388	PREP	634.1	-0.5	2.063e-06	-	NoDiff
389	AC005674.2	64.1	-1.3	2.111e-06	-	groupB UP
390	STX12	1715.7	-0.8	2.164e-06	-	NoDiff
391	G0S2	41.4	2.6	2.185e-06	-	groupA UP
392	ADARB1	1874.4	-2.2	2.185e-06	-	groupB UP
393	LGI3	20.2	-5	2.203e-06	-	groupB UP
394	PRKAG2	1004.8	-1.5	2.205e-06	-	groupB UP
395	ABCA6	2375.3	-1	2.296e-06	-	groupB UP
396	TGFB2	209.1	1.7	2.397e-06	-	groupA UP
397	SIPA1L2	128.9	3	2.399e-06	-	groupA UP
398	KLF5	158.3	-2.6	2.482e-06	-	groupB UP
399	PARP2	224	0.8	2.573e-06	-	NoDiff
400	ARRDC4	1269.7	0.7	2.573e-06	-	NoDiff
401	NEDD4L	1332.1	1	2.668e-06	-	groupA UP
402	TTC3	6871.7	0.6	2.824e-06	-	NoDiff
403	LEP	118.2	-3.1	2.849e-06	-	groupB UP
404	STAT3	7824.3	-0.5	3.005e-06	-	NoDiff
405	MEG3	11086	0.5	3.228e-06	-	NoDiff
406	MAGED1	4810.1	0.7	3.243e-06	-	NoDiff
407	CCDC34	67.2	1.3	3.322e-06	-	groupA UP
408	WBP1L	2558.6	-0.7	3.356e-06	-	NoDiff
409	STAT5B	1528.9	-0.4	3.356e-06	-	NoDiff
410	P2RX7	158.4	1.8	3.432e-06	-	groupA UP
411	CCN1	5198.7	-1.8	3.448e-06	-	groupB UP
412	CHCHD7	393.3	-0.7	3.533e-06	-	NoDiff
413	FAM20A	1105.2	-1.1	3.56e-06	-	groupB UP
414	C7	2034.6	-3.3	3.591e-06	-	groupB UP
415	MPST	583.2	-0.9	3.591e-06	-	NoDiff
416	VMP1	3112.7	-0.5	3.696e-06	-	NoDiff
417	GPRC5B	2956.2	-1.8	3.79e-06	-	groupB UP
418	HERPUD1	2277.5	-0.7	3.857e-06	-	NoDiff
419	SMAD3	4829.2	0.5	4.055e-06	-	NoDiff
420	GMFB	1856.1	-0.6	4.055e-06	-	NoDiff
421	CPM	879.9	-1.5	4.1e-06	-	groupB UP
422	SEMA3A	721.5	1.2	4.106e-06	-	groupA UP
423	TLE5	5454.8	-0.4	4.206e-06	-	NoDiff
424	ABHD5	1771.1	-1	4.263e-06	-	groupB UP
425	AIF1L	85.6	2.4	4.656e-06	-	groupA UP
426	ING2	368.6	-1.1	4.656e-06	-	groupB UP
427	ASB13	282.7	-0.8	4.656e-06	-	NoDiff
428	CDKN2B	508.1	1.4	4.755e-06	-	groupA UP
429	SEMA6D	279.8	1.1	4.842e-06	-	groupA UP
430	PLXNB1	3448.9	-0.7	4.94e-06	-	NoDiff
431	ARRDC2	308.7	-0.7	4.954e-06	-	NoDiff
432	FAM49A	310.6	0.8	4.969e-06	-	NoDiff
433	VGLL3	12520.3	-1.2	5.02e-06	-	groupB UP
434	RSPO1	608.4	-1.4	5.032e-06	-	groupB UP
435	MRPL49	740.3	0.5	5.075e-06	-	NoDiff
436	COL4A2	4477.7	-0.9	5.185e-06	-	NoDiff
437	PTPRG	3380.2	-0.9	5.208e-06	-	NoDiff
438	ALDH4A1	473	-0.8	5.291e-06	-	NoDiff
439	WDR63	95.6	1.9	5.291e-06	-	groupA UP
