ID	baseMean	log2FoldChange	padj	Label	Level
TMEM200A	806.6	1.1	2.087e-16	-	treat_UP
FGD4	1201.9	-2.1	2.111e-16	-	treat_DW
DNAJB4	1455.2	-1.3	2.464e-16	-	treat_DW
MARCH10	67.6	-3.7	3.538e-16	-	treat_DW
C14orf132	4585.9	1	3.689e-16	-	treat_UP
TMEM119	2974.4	1.1	3.878e-16	-	treat_UP
ALOX15B	67	-9.6	4.891e-16	-	treat_DW
CFLAR	3087.5	-1.1	5.619e-16	-	treat_DW
AC079467.1	47	-5.9	9.172e-16	-	treat_DW
ADAMTS1	29582.9	-2.2	9.733e-16	-	treat_DW
TBX18	2652.1	1.6	1.004e-15	-	treat_UP
DCXR	598.2	-1.9	1.368e-15	-	treat_DW
METTL7A	3904.9	-2.2	1.395e-15	-	treat_DW
TGFBR2	13283.3	-1.4	1.524e-15	-	treat_DW
CCDC107	535.8	-1	2.403e-15	-	treat_DW
CREB5	690.2	2.1	3.087e-15	-	treat_UP
SLC45A1	168.3	-1.3	3.579e-15	-	treat_DW
TCEAL4	3065.7	-1.5	4.132e-15	-	treat_DW
CORO6	1982.8	-2.4	5.046e-15	-	treat_DW
SORT1	5538.1	-2.2	6.21e-15	SORT1	treat_DW
PREPL	1703.4	0.7	7.902e-15	-	NoDiff
ZRANB1	2005.5	-0.9	8.696e-15	-	NoDiff
AP1M1	2226.3	-1.1	9.492e-15	-	treat_DW
TRNP1	1040.6	-1.9	1.096e-14	-	treat_DW
TST	316.6	-1.3	1.287e-14	-	treat_DW
GADD45B	367.4	-1.4	1.38e-14	-	treat_DW
FOXO1	683.6	-2.3	1.86e-14	-	treat_DW
AOPEP	661.2	-1.2	2.2e-14	-	treat_DW
MIR22HG	1376.6	-0.9	3.767e-14	-	NoDiff
RBPMS	3363.5	-0.8	3.903e-14	-	NoDiff
HMGA2-AS1	234.3	-2.4	4.158e-14	-	treat_DW
TRIM45	146.8	2	8.236e-14	-	treat_UP
LRRTM2	65.1	4.5	9.233e-14	-	treat_UP
TENT5A	517.5	1.1	1.749e-13	-	treat_UP
ARPC5	2615.4	-0.9	1.839e-13	-	NoDiff
SYN2	40.1	-3.8	1.875e-13	-	treat_DW
ADRA1B	209.3	-3.8	2.24e-13	-	treat_DW
KCTD9	1761.4	-0.7	2.444e-13	-	NoDiff
AMOT	405.1	2.5	2.453e-13	-	treat_UP
LHFPL6	3023.3	-0.7	2.528e-13	-	NoDiff
ENDOD1	2040.8	-1.9	2.783e-13	-	treat_DW
ADAMTS14	756.4	2.3	2.909e-13	-	treat_UP
WASF3	1281.6	-1	3.628e-13	-	treat_DW
PDLIM5	1316.9	-1.5	3.688e-13	-	treat_DW
TUBA4A	246.9	1.6	5.06e-13	-	treat_UP
TXNRD1	22478.2	-1.4	5.268e-13	-	treat_DW
FOXO3	5254.9	-1.2	5.494e-13	-	treat_DW
PRSS35	308.9	2.6	6.889e-13	-	treat_UP
SVIL	8994	0.6	7.76e-13	-	NoDiff
SAT1	4067.9	-1.3	8.22e-13	-	treat_DW
LINC00968	2065.6	-1.9	9.199e-13	-	treat_DW
CCN3	439.3	2.5	1.082e-12	-	treat_UP
NSMF	1584.1	-1	1.19e-12	-	treat_DW
TSC22D1	5269.6	-1.1	1.27e-12	-	treat_DW
TJP2	5724.9	-2	2.29e-12	-	treat_DW
UHMK1	2995.7	-0.6	2.314e-12	-	NoDiff
CCND3	639.8	-1.1	2.433e-12	-	treat_DW
MYADM	5290	-1.4	2.775e-12	-	treat_DW
LTBP1	20268.4	-0.7	3.548e-12	-	NoDiff
SELENOS	803.9	-0.6	4.575e-12	-	NoDiff
TLN1	19756.4	-0.6	4.575e-12	-	NoDiff
MFGE8	9500.5	-1.1	4.708e-12	-	treat_DW
FPGS	1033.3	-0.7	5.402e-12	-	NoDiff
QPRT	855.9	1.1	6.524e-12	-	treat_UP
SAMD4A	3115.6	-1.2	9.686e-12	-	treat_DW
PRKAA1	2359.8	-0.7	1.124e-11	-	NoDiff
TRPC6	650.1	-1.9	1.132e-11	-	treat_DW
SLC5A6	445.6	-1.2	1.401e-11	-	treat_DW
CHST7	446.7	-1.5	1.401e-11	-	treat_DW
USP33	2731.2	-0.8	1.83e-11	-	NoDiff
PEAK1	8109.7	-1	1.943e-11	-	treat_DW
TEX2	3711	-1.5	2e-11	-	treat_DW
KCNK6	908.3	-2.7	2.353e-11	-	treat_DW
ZHX3	3427.3	-1.1	2.456e-11	-	treat_DW
TENT5C	90	2.4	2.727e-11	-	treat_UP
DBP	98.7	1.5	3.645e-11	-	treat_UP
PPP1R12C	2555.2	-0.6	5.681e-11	-	NoDiff
TP53BP1	2076.3	0.6	5.83e-11	-	NoDiff
MMD	1729.8	-1.6	7.169e-11	-	treat_DW
TLDC2	41.6	-3.9	7.833e-11	-	treat_DW
ADAM12	1359.8	1.8	8.162e-11	-	treat_UP
RAD1	1034.4	-0.7	9.48e-11	-	NoDiff
LINC00906	31	5.2	1.024e-10	-	treat_UP
RND2	203.5	2.1	1.098e-10	-	treat_UP
MPP3	147.7	-1.6	1.122e-10	-	treat_DW
EXT1	5253.2	0.8	1.13e-10	-	NoDiff
SAP30	528	-1.2	1.149e-10	-	treat_DW
AIFM2	588.5	-0.6	1.271e-10	-	NoDiff
MARCKS	5621.9	1.1	1.387e-10	-	treat_UP
ARSK	495.1	-0.8	1.476e-10	-	NoDiff
ROCK2	4531.1	-0.7	1.578e-10	-	NoDiff
PTEN	2231.9	0.5	1.687e-10	-	NoDiff
ARMC8	974.8	-1.1	1.763e-10	-	treat_DW
COL7A1	1556.6	-1.2	1.861e-10	-	treat_DW
AGTRAP	745.4	-1.1	2.129e-10	-	treat_DW
RGL1	1068.6	1	2.141e-10	-	treat_UP
INHBB	416.8	-3.6	2.659e-10	-	treat_DW
LMCD1	4016	-1.6	2.935e-10	-	treat_DW
SMARCD2	2165.8	-1.2	2.935e-10	-	treat_DW
LAMA2	17949.6	-2	3.215e-10	-	treat_DW
TCEAL1	442.7	-1	3.346e-10	-	treat_DW
CIT	305.8	1.7	3.52e-10	-	treat_UP
LHFPL2	2009.7	1.2	3.529e-10	-	treat_UP
GALM	522.9	1	4.013e-10	-	treat_UP
STARD7	3682.5	-1.2	4.516e-10	-	treat_DW
TWIST2	4620	-0.7	4.651e-10	-	NoDiff
CLIC2	399.7	1.2	4.962e-10	CLIC2	treat_UP
ASNS	384.2	1.1	5.115e-10	-	treat_UP
THBS1	94773.3	-1.9	5.2e-10	-	treat_DW
FLRT3	181.4	2.4	5.319e-10	-	treat_UP
STEAP4	465.3	-4.8	6.046e-10	-	treat_DW
KLF6	3224.3	-1	6.16e-10	-	treat_DW
ECHDC1	1538.1	-0.8	6.733e-10	-	NoDiff
SQOR	2358.1	-1	6.733e-10	-	treat_DW
PRRX1	5513.7	0.7	7.131e-10	-	NoDiff
SLC4A7	2330.1	1	7.342e-10	-	treat_UP
CPPED1	781.8	-0.9	7.44e-10	-	NoDiff
LDB2	702.6	1.2	7.44e-10	-	treat_UP
RHOB	3286.7	-1.2	7.66e-10	-	treat_DW
GLRX	1965.5	-1	8.872e-10	-	treat_DW
PER3	251.8	2.2	8.876e-10	-	treat_UP
KLHL42	1022.1	-1	9.197e-10	-	treat_DW
HACD1	285.1	-1	9.683e-10	-	treat_DW
DCUN1D3	577.6	-0.7	1.071e-09	-	NoDiff
SMAD1	429.9	1	1.194e-09	-	treat_UP
SUN2	3860.3	-1.7	1.252e-09	-	treat_DW
MAFF	640.6	-1.2	1.484e-09	-	treat_DW
PTX3	9832	-2.2	1.493e-09	-	treat_DW
NCOA3	1616.7	-1.3	1.657e-09	-	treat_DW
CTPS1	724.3	-1.6	1.736e-09	-	treat_DW
NAMPT	2547.6	-0.9	1.903e-09	-	NoDiff
LRRFIP2	2111.4	-0.7	1.929e-09	-	NoDiff
PTPDC1	308.1	-0.9	1.929e-09	-	NoDiff
PCYT2	530.2	-1	1.961e-09	-	treat_DW
CDV3	4859	-0.7	2.138e-09	-	NoDiff
RHEB	2213.7	-1	2.563e-09	-	treat_DW
BNC2	2823.1	1	2.563e-09	-	treat_UP
ATP2A2	10583.5	-1.3	2.563e-09	-	treat_DW
C4orf46	588.5	1.3	2.563e-09	-	treat_UP
PCDH18	6504.8	0.9	2.653e-09	-	NoDiff
TMEM26	73.5	1.9	2.99e-09	-	treat_UP
TMEM150A	488.4	-0.9	3.387e-09	-	NoDiff
PXDC1	1497.9	-1.4	3.387e-09	-	treat_DW
CXCL12	27566.3	1.8	3.626e-09	-	treat_UP
WARS	2846.6	1.4	4.18e-09	-	treat_UP
ZYX	9291.3	-0.7	4.392e-09	-	NoDiff
SSH2	2083	-1.1	4.566e-09	-	treat_DW
FER1L6	254.5	3.1	4.867e-09	-	treat_UP
SHMT1	149.3	-1.1	6.368e-09	-	treat_DW
PGBD5	151.8	2.6	6.368e-09	-	treat_UP
GALNT16	543.8	1	6.412e-09	-	treat_UP
AQP3	137.8	2.9	6.479e-09	-	treat_UP
XPC	1809.5	0.5	6.523e-09	-	NoDiff
XAF1	456.2	0.9	6.766e-09	-	NoDiff
PPP1R14A	207.2	-2.7	7.093e-09	-	treat_DW
TTC39C	586.2	-0.8	7.444e-09	-	NoDiff
UGP2	3269.8	-1	7.689e-09	-	treat_DW
RWDD4	1068	-1.1	7.689e-09	-	treat_DW
NYNRIN	1596.1	1.1	7.97e-09	-	treat_UP
IL16	886.6	-1	8.186e-09	-	treat_DW
GCLM	1941	-1.2	8.581e-09	-	treat_DW
EOGT	1789.9	-1.2	8.581e-09	-	treat_DW
SYNPO2	9159	-1.7	8.581e-09	-	treat_DW
PYGB	3029.3	-0.6	8.847e-09	-	NoDiff
NKD1	296.1	-2.6	9.124e-09	-	treat_DW
OMG	299.7	1.6	1.082e-08	-	treat_UP
NR4A3	216.3	-2.1	1.178e-08	-	treat_DW
RTKN2	118.7	1.8	1.245e-08	-	treat_UP
SRF	1295.3	-0.9	1.269e-08	-	NoDiff
REV3L	8301.1	-1	1.319e-08	-	treat_DW
DAAM2	2590.7	-1.6	1.338e-08	-	treat_DW
ORMDL1	1813.5	-1	1.446e-08	-	treat_DW
ZBTB47	2705.2	-0.7	1.463e-08	-	NoDiff
MAP3K8	507	-1	1.596e-08	-	treat_DW
BRCA1	225.9	1.1	1.804e-08	-	treat_UP
TUT7	1496.9	-1.2	1.804e-08	-	treat_DW
LARP4	1029	-0.8	1.804e-08	-	NoDiff
TCEAL3	995.2	-1	1.804e-08	-	treat_DW
MIR99AHG	142.3	1.4	1.821e-08	-	treat_UP
ERGIC1	6803	-0.7	1.866e-08	-	NoDiff
GDF15	450.3	1.9	1.916e-08	-	treat_UP
ARPC4	2013.7	-0.5	1.918e-08	-	NoDiff
CENPP	131.8	1.7	2.116e-08	-	treat_UP
RASGRP2	90.5	-1.7	2.119e-08	-	treat_DW
SLC35G2	240.2	-0.8	2.181e-08	-	NoDiff
CES2	1288.6	0.5	2.216e-08	-	NoDiff
RPS6KA5	163.2	2	2.329e-08	-	treat_UP
COL4A1	2305.3	-1.4	2.425e-08	-	treat_DW
MAVS	2943	-0.6	2.584e-08	-	NoDiff
AC008522.1	446.9	0.9	2.719e-08	-	NoDiff
CARMIL1	1510.4	-1.1	3.041e-08	-	treat_DW
BDKRB2	6087.6	1.9	3.112e-08	-	treat_UP
ANGPTL2	6411	0.8	3.241e-08	-	NoDiff
AC007325.2	36.7	-7.2	3.296e-08	-	treat_DW
HSD17B11	1522.4	-0.7	3.424e-08	-	NoDiff
TMEM50A	2528.6	-0.7	3.489e-08	-	NoDiff
MGAT1	5431.2	-0.8	3.493e-08	-	NoDiff
GLS	4260.1	-1.1	3.681e-08	-	treat_DW
PPTC7	521.4	-1.2	4.285e-08	-	treat_DW
DUSP10	324.8	1.3	4.492e-08	-	treat_UP
CORIN	178.5	-2	4.615e-08	-	treat_DW
AMPH	359.4	-1.1	4.813e-08	-	treat_DW
STON1	1792.8	-1.3	4.942e-08	-	treat_DW
PRODH	45.9	-4	5.172e-08	-	treat_DW
POLD4	680.6	-0.9	5.186e-08	-	NoDiff
ABLIM1	847.4	-1.4	5.249e-08	-	treat_DW
PIK3R1	3368.3	-1.5	5.335e-08	-	treat_DW
RAF1	2860.2	-0.8	5.461e-08	-	NoDiff
AASS	702.6	-1.1	5.497e-08	-	treat_DW
KLHDC3	1014.4	-0.6	5.581e-08	-	NoDiff
MARCKSL1	620.3	1.1	5.628e-08	-	treat_UP
NEK11	181.3	1.1	5.822e-08	-	treat_UP
SLC22A23	203.6	1.3	6.1e-08	-	treat_UP
ANXA2	25251.7	-0.6	6.318e-08	-	NoDiff
ADH1B	44799.8	-1.1	6.399e-08	-	treat_DW
ACSS1	661.4	-1.8	6.499e-08	-	treat_DW
ZNF521	935	0.9	6.775e-08	-	NoDiff
LAMB1	31051.6	-0.8	6.837e-08	-	NoDiff
ARHGEF28	626.8	-1.1	7.05e-08	-	treat_DW
HMGB2	1064.6	-1.2	8.402e-08	-	treat_DW
TRERF1	473.9	0.7	8.48e-08	-	NoDiff
ELF1	1408.1	-0.8	8.85e-08	-	NoDiff
NID1	9499.5	-1.5	9.85e-08	-	treat_DW
GNB4	1891.4	-0.9	9.908e-08	-	NoDiff
SHB	336.5	0.9	1.011e-07	-	NoDiff
BCL6	1819.8	-0.8	1.043e-07	-	NoDiff
CLDN11	3429.7	1.6	1.055e-07	-	treat_UP
FZD5	54.8	-2.4	1.1e-07	-	treat_DW
HSPA12B	64.8	2.2	1.157e-07	-	treat_UP
MYC	732.2	-0.8	1.256e-07	-	NoDiff
CITED2	7382.8	-1.5	1.352e-07	-	treat_DW
TANK	1167	-0.5	1.387e-07	-	NoDiff
GPX8	3488.8	0.4	1.387e-07	-	NoDiff
HS3ST3B1	322	-0.9	1.394e-07	-	NoDiff
AC037198.2	83	-1.7	1.43e-07	-	treat_DW
OXSR1	1225.2	-0.4	1.445e-07	-	NoDiff
DANCR	222.6	-1.1	1.482e-07	-	treat_DW
ADM2	61.4	2.5	1.509e-07	-	treat_UP
AXIN2	475.4	-1.2	1.537e-07	-	treat_DW
GPR68	60.4	3.1	1.603e-07	-	treat_UP
FAM129B	17868.9	-0.6	1.603e-07	-	NoDiff
DEPP1	18422.1	-1.6	1.723e-07	-	treat_DW
PLA2G4A	112.2	2.4	1.747e-07	-	treat_UP
MSRB3	3080.8	-0.7	2.061e-07	-	NoDiff
SPRED2	879.2	-0.6	2.103e-07	-	NoDiff
SENP7	325.6	0.7	2.179e-07	-	NoDiff
TPM4	50335.2	-0.7	2.282e-07	-	NoDiff
DUSP23	154.9	-1.3	2.342e-07	-	treat_DW
NSG1	15	4	2.489e-07	-	treat_UP
GCHFR	79.5	-1.7	2.527e-07	-	treat_DW
SLC35D1	633	-0.8	2.555e-07	-	NoDiff
SLC38A2	20153.1	-1.1	2.63e-07	-	treat_DW
GCH1	85.3	-1.6	2.676e-07	-	treat_DW
NUDCD1	248.5	-0.7	2.74e-07	-	NoDiff
SLC16A12	49.1	-4	2.943e-07	-	treat_DW
GDNF	230.7	-1.9	2.969e-07	-	treat_DW
RAPGEF5	127.4	-3.4	3.03e-07	-	treat_DW
ATP11C	1382.4	-0.5	3.248e-07	-	NoDiff
ALDH3A2	937.6	0.9	3.33e-07	-	NoDiff
TACC1	8573.1	-0.8	3.498e-07	-	NoDiff
GLCE	1483	-0.9	3.914e-07	-	NoDiff
DPYSL3	4716.3	0.5	4.306e-07	-	NoDiff
CMTM6	2254	-0.6	4.787e-07	-	NoDiff
PPP1CB	4911.9	-0.9	4.787e-07	-	NoDiff
DAAM1	770.4	1.1	5.045e-07	-	treat_UP
ADAMTS2	4525.4	-0.7	5.225e-07	-	NoDiff
DDIT3	630.7	1	5.372e-07	-	treat_UP
TMEM19	731.1	-0.7	5.375e-07	-	NoDiff
EGR2	17	3.1	5.39e-07	-	treat_UP
PAFAH1B3	81.8	1.1	5.778e-07	-	treat_UP
NFIL3	1438.2	-1.1	5.799e-07	-	treat_DW
NEDD9	1859.2	-1.6	6.116e-07	-	treat_DW
ALPK3	68.4	-3	6.128e-07	-	treat_DW
AC026464.4	545.2	-0.5	6.317e-07	-	NoDiff
TM7SF3	1464.6	-0.9	6.342e-07	-	NoDiff
BDKRB1	206	1.8	6.366e-07	-	treat_UP
CALCOCO2	3088.5	-1	6.395e-07	-	treat_DW
RASL11A	903	-2.2	6.406e-07	-	treat_DW
CUL7	1205.6	0.4	6.89e-07	-	NoDiff
ELOVL1	1022.3	-0.5	7.174e-07	-	NoDiff
CYTH3	3723	-1.2	7.878e-07	-	treat_DW
BAIAP2-DT	478.8	0.5	8.098e-07	-	NoDiff
TUBA1A	8256	1.2	8.286e-07	-	treat_UP
ALDH6A1	677.2	-1.1	8.568e-07	-	treat_DW
RAB11FIP4	40.7	1.8	8.577e-07	-	treat_UP
SHMT2	1336.9	0.6	8.913e-07	-	NoDiff
RAC3	72.3	-1.3	9.327e-07	-	treat_DW
SH3D19	5943.3	-0.7	9.411e-07	-	NoDiff
COL3A1	82843.9	0.8	9.411e-07	-	NoDiff
TRAK2	5282.8	-0.9	9.414e-07	-	NoDiff
AMOTL2	3687.2	-0.9	9.578e-07	-	NoDiff
ZNF326	898.2	0.5	1.076e-06	-	NoDiff
YIF1B	614.5	-1.1	1.077e-06	-	treat_DW
CARF	239.7	0.8	1.125e-06	-	NoDiff
MT1M	45.6	-2.5	1.125e-06	-	treat_DW
LIF	165.7	2.4	1.205e-06	-	treat_UP
RGMB-AS1	176.1	1.4	1.214e-06	-	treat_UP
CBX5	2218.7	0.6	1.222e-06	-	NoDiff
ULK2	1545.9	-1.2	1.239e-06	-	treat_DW
AKAP2	7589.8	-1.1	1.277e-06	-	treat_DW
NUAK1	419.3	-1.3	1.279e-06	-	treat_DW
ANPEP	4186.2	-1.1	1.289e-06	-	treat_DW
UBB	7961.9	0.4	1.449e-06	-	NoDiff
EMP1	5850.3	-0.9	1.465e-06	-	NoDiff
TM4SF1	958.6	-1.1	1.51e-06	-	treat_DW
CRYBG3	1668.6	0.7	1.517e-06	-	NoDiff
AC096921.2	31.2	-2.4	1.578e-06	-	treat_DW
ZDHHC12	282.8	-0.9	1.6e-06	-	NoDiff
C1QTNF1	990.3	-1.2	1.661e-06	-	treat_DW
VKORC1L1	1011.4	-0.6	1.661e-06	-	NoDiff
NADK	1684.6	-0.8	1.742e-06	-	NoDiff
SLC39A13	3021	-0.6	1.742e-06	-	NoDiff
LOXL1	4120.2	0.5	1.743e-06	-	NoDiff
FSTL3	1784.4	-1.7	1.778e-06	-	treat_DW
ZDHHC9	1588	-0.7	1.795e-06	-	NoDiff
ARL6IP5	5758.3	-0.5	1.844e-06	-	NoDiff
GALNT15	13884.4	-1.5	1.846e-06	-	treat_DW
MAFK	797	-0.8	1.937e-06	-	NoDiff
CD302	3721.2	-1.8	1.943e-06	-	treat_DW
SGTB	560.2	-0.8	1.98e-06	-	NoDiff
PREP	634.1	-0.5	2.063e-06	-	NoDiff
AC005674.2	64.1	-1.3	2.111e-06	-	treat_DW
STX12	1715.7	-0.8	2.164e-06	-	NoDiff
G0S2	41.4	2.6	2.185e-06	-	treat_UP
ADARB1	1874.4	-2.2	2.185e-06	-	treat_DW
LGI3	20.2	-5	2.203e-06	-	treat_DW
PRKAG2	1004.8	-1.5	2.205e-06	-	treat_DW
ABCA6	2375.3	-1	2.296e-06	-	treat_DW
TGFB2	209.1	1.7	2.397e-06	-	treat_UP
SIPA1L2	128.9	3	2.399e-06	-	treat_UP
KLF5	158.3	-2.6	2.482e-06	-	treat_DW
PARP2	224	0.8	2.573e-06	-	NoDiff
ARRDC4	1269.7	0.7	2.573e-06	-	NoDiff
NEDD4L	1332.1	1	2.668e-06	-	treat_UP
TTC3	6871.7	0.6	2.824e-06	-	NoDiff
LEP	118.2	-3.1	2.849e-06	-	treat_DW
STAT3	7824.3	-0.5	3.005e-06	-	NoDiff
MEG3	11086	0.5	3.228e-06	-	NoDiff
MAGED1	4810.1	0.7	3.243e-06	-	NoDiff
CCDC34	67.2	1.3	3.322e-06	-	treat_UP
WBP1L	2558.6	-0.7	3.356e-06	-	NoDiff
STAT5B	1528.9	-0.4	3.356e-06	-	NoDiff
P2RX7	158.4	1.8	3.432e-06	-	treat_UP
CCN1	5198.7	-1.8	3.448e-06	-	treat_DW
CHCHD7	393.3	-0.7	3.533e-06	-	NoDiff
FAM20A	1105.2	-1.1	3.56e-06	-	treat_DW
C7	2034.6	-3.3	3.591e-06	-	treat_DW
MPST	583.2	-0.9	3.591e-06	-	NoDiff
VMP1	3112.7	-0.5	3.696e-06	-	NoDiff
GPRC5B	2956.2	-1.8	3.79e-06	-	treat_DW
HERPUD1	2277.5	-0.7	3.857e-06	-	NoDiff
SMAD3	4829.2	0.5	4.055e-06	-	NoDiff
GMFB	1856.1	-0.6	4.055e-06	-	NoDiff
CPM	879.9	-1.5	4.1e-06	-	treat_DW
SEMA3A	721.5	1.2	4.106e-06	-	treat_UP
TLE5	5454.8	-0.4	4.206e-06	-	NoDiff
ABHD5	1771.1	-1	4.263e-06	-	treat_DW
AIF1L	85.6	2.4	4.656e-06	-	treat_UP
ING2	368.6	-1.1	4.656e-06	-	treat_DW
ASB13	282.7	-0.8	4.656e-06	-	NoDiff
CDKN2B	508.1	1.4	4.755e-06	-	treat_UP
SEMA6D	279.8	1.1	4.842e-06	-	treat_UP
PLXNB1	3448.9	-0.7	4.94e-06	-	NoDiff
ARRDC2	308.7	-0.7	4.954e-06	-	NoDiff
FAM49A	310.6	0.8	4.969e-06	-	NoDiff
VGLL3	12520.3	-1.2	5.02e-06	-	treat_DW
RSPO1	608.4	-1.4	5.032e-06	-	treat_DW
MRPL49	740.3	0.5	5.075e-06	-	NoDiff
COL4A2	4477.7	-0.9	5.185e-06	-	NoDiff
PTPRG	3380.2	-0.9	5.208e-06	-	NoDiff
ALDH4A1	473	-0.8	5.291e-06	-	NoDiff
WDR63	95.6	1.9	5.291e-06	-	treat_UP
YARS	1242.8	0.7	5.559e-06	-	NoDiff
RGMB	2407.5	0.9	5.639e-06	-	NoDiff
ADAMTS5	3796.9	-2.1	5.889e-06	-	treat_DW
AGPAT2	588.6	-0.6	5.919e-06	-	NoDiff
KCNE3	161.3	1.2	5.919e-06	-	treat_UP
DHTKD1	577.2	-0.6	6.054e-06	-	NoDiff
ZMYM3	1005	0.5	6.082e-06	-	NoDiff
SLC39A10	782.5	1.1	6.097e-06	-	treat_UP
ZBTB22	387.7	0.6	6.335e-06	-	NoDiff
NR4A1	245.5	-1.3	6.616e-06	-	treat_DW
TNFAIP3	360.8	-0.8	6.734e-06	-	NoDiff
ACIN1	4252.5	0.4	6.785e-06	-	NoDiff
RALBP1	3366.9	-0.5	6.863e-06	-	NoDiff
SLC25A32	527.9	-0.8	7.112e-06	-	NoDiff
PREB	1732.5	-1.1	7.126e-06	-	treat_DW
NR3C1	2813.7	0.9	7.192e-06	-	NoDiff
HSPA2	459.9	-2.5	7.232e-06	-	treat_DW
GORASP1	984.6	-0.5	7.254e-06	-	NoDiff
RBPJ	5952.3	0.7	7.406e-06	-	NoDiff
AL513327.1	94	-1	7.637e-06	-	treat_DW
DUSP5	401.9	-1.3	7.697e-06	-	treat_DW
MARS	1684.6	0.5	7.926e-06	-	NoDiff
PEG10	561.5	0.9	8.198e-06	-	NoDiff
S1PR1	242	1.3	8.237e-06	-	treat_UP
CASP3	519.8	-0.7	8.369e-06	-	NoDiff
GPRASP2	361.8	0.9	8.403e-06	-	NoDiff
MCL1	5945.6	-0.6	8.511e-06	-	NoDiff
AC010255.1	33.3	-2.1	8.622e-06	-	treat_DW
PRKCE	399.5	1.1	8.837e-06	-	treat_UP
NUDT16	1302.3	-0.6	8.837e-06	-	NoDiff
