ID	weight_g	length_cm	ab_fat	other_fat	total_fat	X100xfat_weight	Trigly	Total_Chol	HDL_Chol	UC	FFA	Glucose	LDL_plus_VLDL	MCP_1_phys	Insulin_ug_l	Glucose_Insulin	Leptin_pg_ml	Adiponectin	Aortic.lesions	Aneurysm	Aortic_cal_M	Aortic_cal_L	CoronaryArtery_Cal	Myocardial_cal	BMD_all_limbs	BMD_femurs_only
F2_68	32	9.9	1.54	2.75	4.29	13.40625	70	1391	30	568	144	472	1361	114.75	911	0.518111964873765	24720	9.374	274750	39	15	21	0	0	0	0
F2_69	34.9	9.9	1.6	3.22	4.82	13.810888252149	80	829	59	230	60	292	770	91.028	560	0.521428571428571	46340	6.85	109250	12	2	3	0	0	0	0
F2_70	23.9	9.8	0.53	1.4	1.93	8.07531380753138	80	857	36	364	110	426	821	125.6	420	1.01428571428571	6560	8.827	470500	4	0	17	0	0	0	0
F2_71	40.9	10	0	4.66	0	0	38	1895	38	649	112	497	1857	169.296	0	0	0	0	271750	5	4	3	0	0	0	0
F2_72	30.9	9.7	1.67	2.43	4.1	13.2686084142395	44	840	29	312	74	367	811	154.896	599	0.612687813021703	37800	9.239	422250	3	0	0	0	0	0	0
F2_78	37.1	10	1.79	2.19	3.98	10.7277628032345	108	1112	25	436	126	436	1087	123.392	1166	0.373927958833619	20900	5.767	86000	6	4	0	0	0	0	0
F2_79	38.7	11	2.68	2.34	5.02	12.9715762273902	63	1146	43	384	108	435	1103	117.01	1647	0.264116575591985	33620	4.676	316500	0	2	11	0	0	0	0
F2_80	42.7	10.5	4.1	4.74	8.84	20.7025761124122	41	1382	26	505	96	394	1356	110.806	3239	0.121642482247607	66480	4.82	197500	18	0	0	0	0	0	0
F2_81	33.7	10.2	1.86	2.38	4.24	12.5816023738872	77	1063	27	403	102	355	1036	81.628	1549	0.229180116204003	47660	6.102	291000	52	10	0	0	0	0	0
F2_83	39	10.5	3.93	2.18	6.11	15.6666666666667	47	1726	39	591	130	522	1687	91.788	1118	0.46690518783542	63940	7.111	423750	32	4	8	0	0	0	0
F2_86	34.8	10	2.01	1.9	3.91	11.235632183908	88	998	60	331	88	334	938	125.6	2457	0.135938135938136	35500	3.765	186750	0	0	4	0	0	0	0
F2_87	32.5	10.5	1.51	1.57	3.08	9.47692307692308	36	753	53	232	68	265	700	92.962	766	0.345953002610966	16140	2.914	167250	0	0	1	0	0	0	0
F2_88	46	10.8	4.11	2.87	6.98	15.1739130434783	55	1016	46	368	99	400	970	143.192	2852	0.140252454417952	87360	5.302	247250	12	7	0	0	0	0	0
F2_89	28.3	9.5	1.09	1.06	2.15	7.59717314487633	56	1162	26	468	137	410	1136	83.746	0	0	17720	8.644	299500	69	10	0	0	0	0	0
F2_107	43.6	10.3	3.47	2.58	6.05	13.8761467889908	76	1306	37	380	82	308	1269	110.384	627	0.491228070175439	59040	9.962	171625	32	4	2	0	0	0.0605	0.08685
F2_108	40.6	10.7	3.96	2.45	6.41	15.7881773399015	25	850	21	289	64	337	829	184.16	517	0.65183752417795	85320	17.756	329000	0	0	0	0	0	0.0518	0.06755
F2_109	43.6	10.3	2.96	3.19	6.15	14.105504587156	50	812	62	263	67	290	750	89.994	954	0.30398322851153	85400	8.795	151750	0	0	7	0	0	0.0587	0.08275
F2_110	37.1	10.3	2.57	2.07	4.64	12.5067385444744	96	1617	46	558	102	435	1571	113.762	414	1.05072463768116	54560	15.256	385500	40	14	0	0	0	0.0526	0.07265
F2_111	33.8	10	1.28	1.53	2.81	8.31360946745562	36	1392	38	491	87	364	1354	102.542	1027	0.354430379746835	44512.9	9.229	279250	38	8	0	2	0	0.0583	0.07975
F2_112	26.8	10.5	0.41	0.58	0.99	3.69402985074627	709	1296	24	420	79	361	1272	222.52	610	0.591803278688525	6317.96	8.564	18000	0	0	0	0	0	0.06	0.0832
F2_117	38	10.2	0	2.55	0	0	64	1236	38	471	127	409	1198	169.444	468	0.873931623931624	79249.46	15.794	475000	63	4	0	0	0	0.0545	0.0765
F2_119	40.3	10.2	2.85	3.35	6.2	15.3846153846154	96	1113	38	387	87	406	1075	93.722	583	0.696397941680961	54318.48	9.438	485500	18	2	15	0	0	0.054	0.07345
F2_125	44.1	10.4	3.5	2.67	6.17	13.9909297052154	157	1656	33	580	126	590	1623	154.896	1233	0.478507704785077	104954.62	8.893	217500	60	2	0	0	0	0.0591	0.086
F2_126	43.1	10.4	3.47	3.92	7.39	17.1461716937355	124	1263	37	484	126	440	1226	149.144	0	0	0	0	137750	34	7	0	0	0	0.0575	0.0822
F2_127	33.4	9.9	1.98	2.17	4.15	12.4251497005988	84	1609	28	644	139	498	1581	173.292	457	1.08971553610503	111464.32	11.32	201750	13	0	7	0	0	0.0523	0.07635
F2_141	36	10.2	2.31	1.41	3.72	10.3333333333333	60	1023	36	397	99	354	987	109.12	675	0.524444444444444	57056.54	11.901	298000	24	3	0	0	3	0.055	0.0744
F2_142	24.5	9.9	0.4	0.25	0.65	2.6530612244898	38	942	27	405	95	324	915	132.174	728	0.445054945054945	9874.4	13.683	211500	0	0	0	0	0	0.0537	0.07405
F2_143	43.1	10.5	3.23	1.55	4.78	11.0904872389791	63	1148	39	515	125	494	1109	161.194	5353	0.09228470016813	264299.2	12.369	291000	0	0	1	0	0	0.0534	0.0684
F2_144	0	0	1.52	0.98	2.5	0	29	1065	38	431	83	382	1027	130.456	409	0.93398533007335	23376.76	16.333	212750	0	0	0	0	2	0.0578	0.0791
F2_145	0	0	1.98	1.89	3.87	0	36	1105	27	453	113	388	1078	112.564	569	0.681898066783831	121757.76	14.544	375750	27	3	0	0	0	0.0519	0.06535
F2_154	42.9	10.4	2.75	2.54	5.29	12.3310023310023	88	824	50	321	92	354	774	157.904	509	0.695481335952849	103567.76	8.128	77500	16	7	0	0	9	0.0574	0.07695
F2_155	31.8	10.2	1.55	1.55	3.1	9.74842767295597	45	1075	43	419	91	321	1032	76.182	439	0.73120728929385	48186.02	12.619	104750	6	0	0	0	0	0.0597	0.08185
F2_156	40.9	10.6	3.01	2.84	5.85	14.3031784841076	95	1016	44	378	105	385	972	134.48	615	0.626016260162602	80302.36	5.958	199750	3	2	0	0	0	0.0563	0.07855
F2_157	22.2	9.8	0.15	0.39	0.54	2.43243243243243	44	403	44	153	45	227	359	84.388	407	0.557739557739558	3662.48	7.541	264000	0	0	0	0	0	0.0565	0.07895
F2_162	44.6	10	2.74	2.3	5.04	11.3004484304933	139	1842	47	636	136	453	1795	305.196	625	0.7248	125457.98	3.737	183750	16	7	0	0	0	0.0522	0.0694
F2_163	53.1	10.7	6.58	3.77	10.35	19.4915254237288	113	1909	24	725	156	589	1885	155.714	1370	0.42992700729927	152968.96	5.875	247750	5	0	0	0	0	0.0529	0.077
F2_164	52.7	10.8	5.81	4.17	9.98	18.9373814041746	98	1356	42	456	93	448	1314	135.602	2677	0.167351512887561	98773.12	3.951	183250	12	3	0	0	0	0.0571	0.0835
F2_165	54.1	10.5	5.72	4.02	9.74	18.003696857671	55	1263	56	370	80	338	1207	130.586	465	0.726881720430108	26971.26	4.7	478750	0	3	16	0	0	0.0564	0.0797
F2_166	32.1	9.9	1.76	1.7	3.46	10.7788161993769	27	994	28	367	82	393	966	206.668	1733	0.226774379688402	181193.08	5.99	181250	4	2	0	0	28	0.0565	0.081
F2_167	29.4	10.7	1.6	1.8	3.4	11.5646258503401	11	729	30	328	93	274	699	207.074	326	0.840490797546012	20350.54	4.418	240500	7	9	0	0	2	0.0523	0.0706
F2_169	33.9	10.1	1.48	1.9	3.38	9.97050147492625	42	1051	53	350	84	331	998	102.328	613	0.539967373572594	47425.36	7.76	350250	0	0	10	0	0	0.0624	0.0912
F2_180	41.8	10.2	2.63	2.79	5.42	12.9665071770335	85	1078	46	384	93	413	1032	93.966	1294	0.319165378670788	121768.04	10.074	210250	0	0	0	0	0	0.0593	0.08635
F2_181	31.2	10.2	1.34	1.15	2.49	7.98076923076923	74	1353	52	370	60	339	1301	155.822	385	0.88051948051948	36938.46	7.249	342500	36	4	0	0	0	0.0549	0.07915
F2_182	36	10.1	2.96	2.01	4.97	13.8055555555556	40	1026	62	286	53	341	964	68.874	454	0.751101321585903	58917.6	8.2	163000	0	0	0	0	0	0.0543	0.0719
F2_187	40.9	10.3	3.04	2.43	5.47	13.3740831295844	79	1169	60	415	98	402	1109	112.106	2243	0.179224253232278	110412.14	8.23	184000	0	0	0	0	0	0.0561	0.0832
F2_188	31.5	10.4	1.06	1.38	2.44	7.74603174603175	56	1011	38	349	84	326	973	110.698	733	0.44474761255116	38630.06	11.512	203250	16	3	0	3	12	0.0582	0.0717
F2_189	36.4	10.5	2.08	2.16	4.24	11.6483516483517	64	1008	48	347	96	399	960	68.598	534	0.747191011235955	72381.04	10.741	218000	20	6	0	0	0	0.0546	0.08255
F2_190	41.4	10.5	3.6	2.14	5.74	13.8647342995169	52	1694	50	623	116	416	1644	105.68	2519	0.165144898769353	198754.98	30.108	422000	25	3	0	0	0	0.0565	0.0825
F2_191	40.9	10.4	3.2	2.5	5.7	13.9364303178484	256	1538	46	565	130	511	1492	104	2935	0.174105621805792	130294.1	8.401	144000	0	0	0	9	5	0.0555	0.0787
F2_192	41.4	10.2	2.9	2.01	4.91	11.8599033816425	69	1035	41	338	77	291	994	105.55	1236	0.235436893203884	117591.48	7.249	199000	22	4	0	0	0	0.0583	0.08655
F2_194	38	10.3	2.68	2.04	4.72	12.4210526315789	47	1296	40	483	113	445	1256	85.032	670	0.664179104477612	61364.68	9.179	249250	32	3	0	0	0	0.0577	0.0812
F2_195	25.3	10.2	0.17	0.15	0.32	1.26482213438735	66	1356	23	487	94	334	1333	105.422	273	1.22344322344322	2492.7	6.28	98000	15	13	0	0	0	0.0556	0.07905
F2_200	45.6	10.8	3.8	2.55	6.35	13.9254385964912	204	1218	33	512	159	478	1185	86.164	1573	0.303877940241577	158479.3	10.062	160750	33	7	0	0	0	0.063	0.0935
F2_201	50.1	10.7	5.07	3.58	8.65	17.2654690618762	136	1472	39	483	94	373	1433	121.91	5105	0.0730656219392752	311297.8	0	222250	16	5	0	0	0	0.0569	0.0792
F2_212	35.4	9.8	2.31	2.34	4.65	13.135593220339	67	1604	26	600	138	393	1578	143.988	547	0.718464351005484	61563.78	20.195	390000	28	2	0	0	0	0.0542	0.0782
F2_213	39.6	10.3	3.39	2.35	5.74	14.4949494949495	462	1691	28	652	198	727	1663	134.378	1129	0.643932683790965	41969.9	9.13	144750	0	0	0	2	7	0.0545	0.0825
F2_214	31	9.7	1.67	1.5	3.17	10.2258064516129	59	1066	15	464	139	364	1051	136.756	466	0.781115879828326	23191.36	8.391	666750	68	0	0	0	0	0.0508	0.0671
F2_215	46.3	10.4	2.05	2.56	4.61	9.95680345572354	47	1465	29	531	119	478	1436	142.37	6906	0.0692151752099624	108934.78	8.239	282750	25	4	0	0	0	0.0595	0.0851
F2_222	0	0	2.8	2.69	5.49	0	25	1100	27	442	87	385	1073	78.584	582	0.661512027491409	111583.74	8.583	470000	22	9	6	0	23	0.057	0.08135
F2_223	36.2	10.2	2.18	2.55	4.73	13.0662983425414	60	1188	31	413	101	370	1157	119.248	1151	0.321459600347524	56629.96	5.309	0	0	0	0	0	0	0.0567	0.08315
F2_224	37.3	10	3.07	2.36	5.43	14.5576407506702	79	811	26	259	60	258	785	128.792	333	0.774774774774775	40867.7	6.171	168000	80	16	0	4	1	0.0497	0.06935
F2_225	34.1	9.8	1.74	2.31	4.05	11.8768328445748	50	800	36	305	82	229	764	111.658	310	0.738709677419355	80283.54	17.734	417750	0	0	0	0	1	0	0
F2_226	29	9.9	1.49	1.61	3.1	10.6896551724138	53	1054	36	346	81	272	1018	101.148	397	0.685138539042821	23200.04	3.479	168250	122	25	0	2	7	0.0525	0.07375
F2_227	36	10.3	2.2	2.15	4.35	12.0833333333333	72	1500	25	517	104	419	1475	83.962	807	0.519206939281289	38309.1	4.064	149500	23	2	0	0	0	0.0552	0.07505
F2_228	42.8	9.9	3.6	3.21	6.81	15.911214953271	240	1635	42	590	159	576	1593	175.25	2797	0.205934930282445	206529.2	7.306	65250	17	0	0	0	4	0	0
F2_241	36.7	9.8	2.48	2.49	4.97	13.5422343324251	58	864	39	310	86	318	825	91.794	429	0.741258741258741	78226.18	1.913	238500	15	1	0	4	11	0.0578	0.08215
F2_242	38.9	9.9	2.91	1.79	4.7	12.0822622107969	73	808	29	304	91	413	779	113.194	869	0.475258918296893	60695.08	5.264	272750	1	0	0	0	0	0.0563	0.0818
F2_243	43.9	10.2	4.26	2.97	7.23	16.4692482915718	82	817	23	356	97	439	794	145.356	1075	0.408372093023256	114589.3	1.604	3230750	60	11	0	2	0	0.0529	0.0778
F2_244	32.8	9.9	1.33	1.95	3.28	10	34	794	19	304	86	313	775	86.896	486	0.6440329218107	58257.08	6.44	318000	0	0	0	0	0	0.0513	0.069
F2_245	42.7	10.4	2.35	2.43	4.78	11.1943793911007	168	1104	33	521	149	537	1071	92.322	2708	0.198301329394387	101521.2	6.81	116750	0	0	2	1	6	0.0567	0.08145
F2_247	40.9	10.3	2.93	2.26	5.19	12.6894865525672	70	1312	27	499	120	483	1285	123.872	615	0.785365853658537	100521.46	5.493	258750	0	0	0	0	0	0.0563	0.07925
F2_248	30.7	9.8	1.46	1.45	2.91	9.47882736156352	41	1044	25	381	83	458	1019	172.614	422	1.08530805687204	138369.52	11.313	184250	0	0	0	2	3	0.0516	0.07045
F2_261	39.6	10.3	2.9	2.3	5.2	13.1313131313131	23	1583	45	569	103	475	1538	117.62	1108	0.42870036101083	89290.54	7.056	214750	0	0	0	0	0	0.0567	0.0785
F2_263	36	10.1	2.6	2	4.6	12.7777777777778	29	1611	25	730	158	519	1586	96.884	0	0	0	0	326750	52	10	0	33	85	0.0547	0.0801
F2_264	41.6	10.4	3.04	2.54	5.58	13.4134615384615	94	1397	38	495	113	453	1359	198.228	1529	0.296272073250491	137452.5	2.705	86666	0	0	0	0	0	0.0497	0.07765
F2_270	45.2	10.2	3.66	2.72	6.38	14.1150442477876	82	1065	31	415	125	509	1034	98.758	1979	0.257200606366852	223565.8	13.319	151250	0	0	0	0	0	0.0573	0.08735
F2_271	42.3	10	1.58	2.39	3.97	9.3853427895981	105	1315	27	516	118	499	1288	172.894	6357	0.0784961459808086	134703.24	30.82	267500	15	0	4	0	2	0.0584	0.0831
F2_272	39.6	10	1.82	2.55	4.37	11.0353535353535	130	1087	45	410	134	484	1042	0	2545	0.190176817288802	92320.54	10.364	189500	0	0	56	0	1	0.0578	0.08355
F2_278	44.4	10.7	2.81	2.78	5.59	12.5900900900901	80	1100	37	508	147	558	1063	132.598	5091	0.109605185621685	109518.16	10.423	325750	55	0	15	0	0	0.0552	0.08465
F2_287	43.9	10.2	2.85	2.35	5.2	11.8451025056948	0	0	0	0	0	0	0	0	0	0	0	0	179500	27	0	13	0	0	0	0
F2_288	37.7	10.2	2.04	2.01	4.05	10.7427055702918	27	1469	25	559	95	406	1444	184.858	669	0.606875934230194	109760.04	20.552	235250	26	10	0	0	0	0.0553	0.075
F2_289	37.2	10.2	2.42	1.9	4.32	11.6129032258065	70	1331	26	574	139	469	1305	146.67	1416	0.331214689265537	71692	12.566	322500	23	5	9	0	0	0.0558	0.0763
F2_290	36.9	9.9	2.53	2.26	4.79	12.9810298102981	53	1167	50	484	121	437	1117	175.85	924	0.472943722943723	245462	11.274	496250	16	0	17	0	0	0	0
F2_291	48.5	10.7	2.9	2.97	5.87	12.1030927835052	61	1230	32	592	173	572	1198	92.43	5781	0.0989448192354264	84420.88	7.099	0	16	4	0	2	4	0.0548	0.0773
F2_296	38.8	10.2	3.28	1.64	4.92	12.680412371134	120	1386	29	539	131	569	1357	109.494	978	0.581799591002045	68410.52	8.71	133250	0	0	7	0	0	0.0621	0.09105
F2_298	33.4	10	2.19	1.81	4	11.9760479041916	65	1334	19	504	110	568	1315	87.668	560	1.01428571428571	74253.66	14.237	301500	6	0	0	0	0	0	0
F2_299	40	9.9	3.41	2.68	6.09	15.225	83	1114	33	459	131	464	1081	129.976	1151	0.403127715030408	114169.02	7.592	57500	0	0	0	6	0	0.0575	0.08275
F2_300	41.1	9.8	4.01	3.29	7.3	17.7615571776156	80	1414	27	620	157	599	1387	121.318	2823	0.212185618136734	200970.8	14.366	62750	3	3	0	0	78	0.0523	0.0746
F2_302	44	10.5	3.6	2.05	5.65	12.8409090909091	121	1468	33	739	191	655	1435	117.122	4506	0.145361739902352	162679.62	8.404	126750	22	10	4	1	52	0.0588	0.08605
F2_303	41.9	10.1	3.5	2.37	5.87	14.0095465393795	91	1444	25	534	130	477	1419	0	1596	0.298872180451128	383322.2	12.048	154500	39	3	0	0	0	0	0
F2_304	37.6	10.1	3.36	1.87	5.23	13.9095744680851	0	0	0	0	0	0	0	0	0	0	0	0	352750	6	1	2	0	0	0.0553	0.0784
F2_305	34.1	10.1	2.52	1.58	4.1	12.0234604105572	91	1475	24	589	134	503	1451	0	1094	0.459780621572212	124436.08	10.319	190250	16	0	0	0	0	0	0
F2_306	42.9	10.2	3.86	2.35	6.21	14.4755244755245	48	1632	33	577	100	484	1599	144.128	3533	0.136994056043023	270467.6	14.718	166750	6	0	4	0	0	0	0
F2_307	35.3	9.8	2.48	2.03	4.51	12.7762039660057	0	1277	23	566	131	488	1254	144.904	421	1.15914489311164	101448.8	22.469	275500	0	0	0	0	1	0	0
F2_308	40.5	10	3.27	2.32	5.59	13.8024691358025	7	1284	28	582	142	575	1256	87.378	3130	0.18370607028754	285963	17.142	192750	27	6	3	0	0	0.0502	0.0721
F2_309	40.7	10.9	3.13	2.16	5.29	12.997542997543	30	1657	28	506	77	417	1629	125.294	821	0.507917174177832	159643.64	14.343	318000	20	0	0	0	0	0.0573	0.07945
F2_310	39.5	10.6	2.47	2.07	4.54	11.493670886076	24	1287	32	457	103	418	1255	140.806	1082	0.386321626617375	194313.18	24.737	268000	22	0	0	0	0	0.056	0.0813
F2_311	33.6	9.9	2.4	1.77	4.17	12.4107142857143	63	1183	25	406	100	369	1158	102.128	1206	0.305970149253731	108510.66	16.383	183000	0	0	0	0	0	0.0565	0.07995
F2_312	39.4	10.1	2.7	2.75	5.45	13.8324873096447	112	1442	53	553	144	522	1389	127.282	1073	0.486486486486487	226996.2	12.425	411250	0	0	13	0	0	0.0551	0.076
F2_320	39.2	10.3	1.88	2.32	4.2	10.7142857142857	59	794	25	321	92	316	769	127.282	1022	0.309197651663405	68926.58	15.384	238750	14	0	0	0	0	0.0591	0.0807
F2_321	45.3	10.6	2.5	2.66	5.16	11.3907284768212	95	1667	45	705	149	644	1622	148.576	10335	0.0623125302370585	172820.02	12.688	312750	25	1	12	0	0	0.0556	0.08035
F2_323	43	10.1	3.14	2.88	6.02	14	95	922	60	314	76	365	862	156.62	1134	0.321869488536155	205015.6	7.151	83000	0	0	0	0	0	0.0588	0.08885
F2_324	38.3	9.8	2.48	2.31	4.79	12.5065274151436	93	1300	52	427	83	332	1248	146.458	1480	0.224324324324324	159873.28	5.943	129500	13	0	0	0	0	0.0529	0.0704
F2_325	40.8	9.7	2.42	2.65	5.07	12.4264705882353	76	1299	28	497	119	413	1271	146.6	1721	0.239976757699012	207949.4	11.174	57500	19	2	0	0	1	0.052	0.0735
F2_326	32.4	9.9	2.26	1.53	3.79	11.6975308641975	35	971	12	399	87	395	959	144.482	579	0.682210708117444	75031.7	17.993	246000	27	10	0	0	0	0.0525	0.07425
F2_327	40.5	10.1	2.98	2.47	5.45	13.4567901234568	44	1291	16	489	94	442	1275	176.976	1217	0.363188167625308	132981.3	17.458	313750	21	6	0	0	0	0.0509	0.0699
F2_328	36.1	9.7	1.89	2.07	3.96	10.9695290858726	75	1004	43	358	92	376	961	258.53	947	0.397043294614572	224701.8	9.939	221250	0	0	0	0	0	0.0529	0.07245
F2_329	34	9.9	2.12	1.67	3.79	11.1470588235294	28	765	15	266	60	256	750	109.994	577	0.44367417677643	63797.58	15.756	143250	0	0	13	0	0	0.0507	0.06955
F2_330	34.4	10.6	1.54	1.26	2.8	8.13953488372093	44	1093	32	351	65	338	1061	60.622	591	0.571912013536379	10302.78	5.507	60750	0	0	4	0	1	0.0588	0.08395
F2_332	35.3	10.7	1.84	1.48	3.32	9.40509915014164	20	963	36	323	57	340	927	86.366	436	0.779816513761468	28512.1	9.119	366250	38	3	0	0	0	0.0582	0.0831
F2_355	40.9	10.4	2.78	1.91	4.69	11.4669926650367	199	663	30	280	95	358	633	189.248	829	0.431845597104946	55794.9	12.134	109500	22	0	0	0	0	0.0564	0.07865
F2_357	45.7	10.8	4.45	2.69	7.14	15.6236323851203	44	1118	51	326	67	372	1067	130.184	1795	0.207242339832869	169716.36	0	214750	27	5	0	0	0	0	0
