ID	logCPM	FDR	level	Phylum	Labels
OTU_2462	6.319	0.249812743	NotSig	Actinobacteria	-
OTU_2570	5.857	0.996380294	NotSig	Actinobacteria	-
OTU_3207	6.499	1	NotSig	Actinobacteria	-
OTU_490	8.068	0.239625964	NotSig	Actinobacteria	-
OTU_773	7.578	0.507414418	NotSig	Actinobacteria	-
OTU_976	7.003	0.996380294	NotSig	Actinobacteria	-
OTU_944	7.227	0.96477425	NotSig	Actinobacteria	-
OTU_1191	7.316	0.443818653	NotSig	Actinobacteria	-
OTU_1566	6.541	0.606025552	NotSig	Actinobacteria	-
OTU_1657	6.678	0.669196971	NotSig	Actinobacteria	-
OTU_1874	7.046	0.964352773	NotSig	Actinobacteria	-
OTU_1927	6.245	0.706772468	NotSig	Actinobacteria	-
OTU_1981	6.612	0.436628984	NotSig	Actinobacteria	-
OTU_2081	7.021	0.929701725	NotSig	Actinobacteria	-
OTU_2307	7.279	0.963322064	NotSig	Actinobacteria	-
OTU_2372	6.249	0.839959742	NotSig	Actinobacteria	-
OTU_2738	6.399	0.620237737	NotSig	Actinobacteria	-
OTU_2796	6.024	0.620237737	NotSig	Actinobacteria	-
OTU_2837	6.329	0.73852748	NotSig	Actinobacteria	-
OTU_3224	6.157	0.996380294	NotSig	Actinobacteria	-
OTU_679	7.625	0.996380294	NotSig	Actinobacteria	-
OTU_1154	7.069	0.920424377	NotSig	Actinobacteria	-
OTU_2941	6.374	0.889436448	NotSig	Actinobacteria	-
OTU_2744	6.074	0.247527734	NotSig	Actinobacteria	-
OTU_320	9.091	0.889436448	NotSig	Actinobacteria	-
OTU_932	7.182	0.546980058	NotSig	Actinobacteria	-
OTU_687	8.058	0.767374158	NotSig	Actinobacteria	-
OTU_2615	6.291	0.835740712	NotSig	Actinobacteria	-
OTU_1359	7.222	0.916871078	NotSig	Actinobacteria	-
OTU_2419	6.517	0.495897668	NotSig	Actinobacteria	-
OTU_2451	6.651	0.787807592	NotSig	Actinobacteria	-
OTU_2698	6.508	0.931862187	NotSig	Actinobacteria	-
OTU_2708	6.643	0.598994417	NotSig	Actinobacteria	-
OTU_2753	6.457	0.577985283	NotSig	Actinobacteria	-
OTU_3102	6.117	0.964184653	NotSig	Actinobacteria	-
OTU_730	7.545	0.996380294	NotSig	Actinobacteria	-
OTU_738	7.863	0.999009496	NotSig	Actinobacteria	-
OTU_34	12.25	0.231668844	NotSig	Actinobacteria	-
OTU_1221	7.018	0.646881893	NotSig	Actinobacteria	-
OTU_186	9.839	0.350298682	NotSig	Actinobacteria	-
OTU_631	7.653	0.956438692	NotSig	Actinobacteria	-
OTU_1062	7.125	0.729733912	NotSig	Actinobacteria	-
OTU_1125	7.034	0.964352773	NotSig	Actinobacteria	-
OTU_115	10.575	0.759568264	NotSig	Actinobacteria	-
OTU_1485	7.047	0.647723575	NotSig	Actinobacteria	-
OTU_1777	6.49	0.825732072	NotSig	Actinobacteria	-
OTU_180	9.737	0.991666739	NotSig	Actinobacteria	-
OTU_2164	6.608	0.961026378	NotSig	Actinobacteria	-
OTU_218	9.523	0.844192278	NotSig	Actinobacteria	-
OTU_2824	6.244	0.31514826	NotSig	Actinobacteria	-
OTU_2987	6.24	0.921637898	NotSig	Actinobacteria	-
OTU_3013	6.111	0.647054082	NotSig	Actinobacteria	-
OTU_3173	6.281	0.265795857	NotSig	Actinobacteria	-
OTU_469	8.25	0.7746874	NotSig	Actinobacteria	-
OTU_528	8.275	0.873239658	NotSig	Actinobacteria	-
OTU_53	11.628	0.985945562	NotSig	Actinobacteria	-
OTU_800	7.446	0.96477425	NotSig	Actinobacteria	-
OTU_2724	6.244	0.691301958	NotSig	Actinobacteria	-
OTU_1111	7.437	0.803591247	NotSig	Actinobacteria	-
OTU_3221	6.253	0.729453421	NotSig	Actinobacteria	-
OTU_3267	6.073	0.558449372	NotSig	Actinobacteria	-
OTU_452	8.334	0.675805686	NotSig	Actinobacteria	-
OTU_666	7.803	0.920424377	NotSig	Actinobacteria	-
OTU_2209	6.579	0.440024598	NotSig	Actinobacteria	-
OTU_2453	6.375	0.137940026	Depleted	Actinobacteria	-
OTU_2507	6.706	0.624529688	NotSig	Actinobacteria	-
OTU_2593	6.272	0.038532578	Depleted	Actinobacteria	-
OTU_759	6.838	0.608945546	NotSig	Actinobacteria	-
OTU_1341	7.047	0.931862187	NotSig	Actinobacteria	-
OTU_1214	6.788	0.578496891	NotSig	Actinobacteria	-
OTU_1611	6.822	0.996380294	NotSig	Actinobacteria	-
OTU_1656	6.684	0.594496979	NotSig	Actinobacteria	-
OTU_1760	6.807	0.19938928	Depleted	Actinobacteria	-
OTU_1829	6.701	0.531433566	NotSig	Actinobacteria	-
OTU_2214	6.157	0.849424833	NotSig	Actinobacteria	-
OTU_2347	6.66	0.846904289	NotSig	Actinobacteria	-
OTU_2625	6.373	0.598994417	NotSig	Actinobacteria	-
OTU_2687	6.611	0.448156636	NotSig	Actinobacteria	-
OTU_2891	6.332	0.952813083	NotSig	Actinobacteria	-
OTU_2969	6.251	0.746874371	NotSig	Actinobacteria	-
OTU_297	9.025	0.477075646	NotSig	Actinobacteria	-
OTU_503	8.004	0.892593311	NotSig	Actinobacteria	-
OTU_3189	6.113	0.681797862	NotSig	Actinobacteria	-
OTU_992	7.4	0.788738577	NotSig	Actinobacteria	-
OTU_1228	6.937	0.892441602	NotSig	Actinobacteria	-
OTU_1258	6.875	0.906271181	NotSig	Actinobacteria	-
OTU_1911	7.558	0.996380294	NotSig	Actinobacteria	-
OTU_1980	6.515	0.173346142	Enriched	Actinobacteria	-
OTU_2330	5.806	0.617876639	NotSig	Actinobacteria	-
OTU_302	9.303	0.9474716	NotSig	Actinobacteria	-
OTU_460	7.88	0.989938407	NotSig	Actinobacteria	-
OTU_591	8.033	0.748601121	NotSig	Actinobacteria	-
OTU_732	7.904	0.791319954	NotSig	Actinobacteria	-
OTU_9	13.618	0.992170386	NotSig	Actinobacteria	-
OTU_1595	7.161	0.775826893	NotSig	Actinobacteria	-
OTU_1685	5.806	0.617876639	NotSig	Actinobacteria	-
OTU_405	8.737	0.73272557	NotSig	Actinobacteria	-
OTU_954	7.423	0.456616076	NotSig	Actinobacteria	-
OTU_473	6.587	0.996380294	NotSig	Actinobacteria	-
OTU_86	11.368	0.723649747	NotSig	Actinobacteria	-
OTU_1561	6.613	0.990465153	NotSig	Actinobacteria	-
OTU_1733	6.756	0.111282769	Depleted	Actinobacteria	-
OTU_2259	6.475	0.231291287	NotSig	Actinobacteria	-
OTU_308	9.146	0.122242811	Depleted	Actinobacteria	-
OTU_2038	5.858	0.996380294	NotSig	Actinobacteria	-
OTU_2266	6.248	0.996380294	NotSig	Actinobacteria	-
OTU_2688	5.802	0.617876639	NotSig	Actinobacteria	-
OTU_369	8.55	0.891858782	NotSig	Actinobacteria	-
OTU_1436	6.886	0.34557628	NotSig	Actinobacteria	-
OTU_1952	5.917	0.318059058	NotSig	Actinobacteria	-
OTU_2149	6.336	1	NotSig	Actinobacteria	-
OTU_3100	5.863	0.996639033	NotSig	Actinobacteria	-
OTU_480	8.156	0.812504257	NotSig	Actinobacteria	-
OTU_753	7.704	0.729733912	NotSig	Actinobacteria	-
OTU_1020	7.011	0.53283424	NotSig	Actinobacteria	-
OTU_1025	7.365	0.786910188	NotSig	Actinobacteria	-
OTU_1036	7.053	0.695309998	NotSig	Actinobacteria	-
OTU_1040	7.242	0.836246224	NotSig	Actinobacteria	-
OTU_1041	7.436	0.832941822	NotSig	Actinobacteria	-
OTU_1059	7.237	0.111889766	Depleted	Actinobacteria	-
OTU_1095	6.823	0.95179524	NotSig	Actinobacteria	-
OTU_1118	6.072	0.836246224	NotSig	Actinobacteria	-
OTU_1147	7.216	0.520018694	NotSig	Actinobacteria	-
OTU_1157	6.368	0.759568264	NotSig	Actinobacteria	-
OTU_1167	7.094	0.971588863	NotSig	Actinobacteria	-
OTU_1177	6.98	0.99552412	NotSig	Actinobacteria	-
OTU_1189	5.858	0.996380294	NotSig	Actinobacteria	-
OTU_119	10.102	0.981417778	NotSig	Actinobacteria	-
OTU_1311	7.103	0.318059058	NotSig	Actinobacteria	-
OTU_1330	6.963	0.767902682	NotSig	Actinobacteria	-
OTU_1342	5.801	0.617876639	NotSig	Actinobacteria	-
OTU_1357	6.708	1	NotSig	Actinobacteria	-
OTU_1397	6.711	1	NotSig	Actinobacteria	-
OTU_1442	6.785	0.523840049	NotSig	Actinobacteria	-
OTU_1443	6.553	0.608811085	NotSig	Actinobacteria	-
OTU_1515	7.065	0.409144791	NotSig	Actinobacteria	-
OTU_1520	6.824	0.290430317	NotSig	Actinobacteria	-
OTU_1573	7.076	0.421755649	NotSig	Actinobacteria	-
OTU_158	9.985	0.96477425	NotSig	Actinobacteria	-
OTU_1583	5.801	0.617876639	NotSig	Actinobacteria	-
OTU_1606	5.871	0.421520512	NotSig	Actinobacteria	-
OTU_1609	7.008	0.304792128	NotSig	Actinobacteria	-
OTU_1638	6.733	0.660957831	NotSig	Actinobacteria	-
OTU_167	9.809	0.528129513	NotSig	Actinobacteria	-
OTU_1671	6.552	0.759568264	NotSig	Actinobacteria	-
OTU_1675	6.587	0.800438505	NotSig	Actinobacteria	-
OTU_1715	5.747	1	NotSig	Actinobacteria	-
OTU_1801	6.739	0.390382875	NotSig	Actinobacteria	-
OTU_1816	6.416	0.770478925	NotSig	Actinobacteria	-
OTU_2028	6.3	0.996380294	NotSig	Actinobacteria	-
OTU_2041	6.248	0.992170386	NotSig	Actinobacteria	-
OTU_2055	6.522	0.391623987	NotSig	Actinobacteria	-
OTU_2060	6.582	0.959147486	NotSig	Actinobacteria	-
OTU_2073	6.115	0.39423052	NotSig	Actinobacteria	-
OTU_2099	5.808	0.598994417	NotSig	Actinobacteria	-
OTU_2183	6.407	0.943083991	NotSig	Actinobacteria	-
OTU_2186	5.911	0.839959742	NotSig	Actinobacteria	-
OTU_221	9.266	0.731790678	NotSig	Actinobacteria	-
OTU_223	9.779	0.947911358	NotSig	Actinobacteria	-
OTU_2237	6.364	0.660802582	NotSig	Actinobacteria	-
OTU_232	9.631	0.675741621	NotSig	Actinobacteria	-
OTU_2420	6.771	0.960483042	NotSig	Actinobacteria	-
OTU_2425	6.326	0.346303661	NotSig	Actinobacteria	-
OTU_2452	6.518	0.823406708	NotSig	Actinobacteria	-
OTU_2472	6.47	0.31514826	NotSig	Actinobacteria	-
OTU_251	9.401	0.247424689	NotSig	Actinobacteria	-
OTU_258	9.237	0.657000131	NotSig	Actinobacteria	-
OTU_2581	6.423	0.552599308	NotSig	Actinobacteria	-
OTU_2621	6.245	0.632762084	NotSig	Actinobacteria	-
OTU_2785	6.2	0.287945112	NotSig	Actinobacteria	-
OTU_2803	6.626	0.843779345	NotSig	Actinobacteria	-
OTU_282	9.237	0.993243173	NotSig	Actinobacteria	-
OTU_2989	6.018	0.893004007	NotSig	Actinobacteria	-
OTU_3019	6.37	0.808454668	NotSig	Actinobacteria	-
OTU_3042	6.248	0.6457475	NotSig	Actinobacteria	-
OTU_3060	6.107	0.706945696	NotSig	Actinobacteria	-
OTU_31	12.395	0.956438692	NotSig	Actinobacteria	-
OTU_3182	5.806	0.617876639	NotSig	Actinobacteria	-
OTU_3196	6.512	0.869927721	NotSig	Actinobacteria	-
OTU_3218	6.195	0.990465153	NotSig	Actinobacteria	-
OTU_3290	6.499	0.32642708	NotSig	Actinobacteria	-
OTU_350	9.585	0.996380294	NotSig	Actinobacteria	-
OTU_373	8.856	0.996380294	NotSig	Actinobacteria	-
OTU_377	8.78	0.839959742	NotSig	Actinobacteria	-
OTU_437	8.872	0.196017909	Enriched	Actinobacteria	-
OTU_459	6.431	0.443593429	NotSig	Actinobacteria	-
OTU_474	8.296	0.635414675	NotSig	Actinobacteria	-
OTU_481	8.474	0.977290122	NotSig	Actinobacteria	-
OTU_497	8.291	0.96477425	NotSig	Actinobacteria	-
OTU_501	8.286	0.302050478	NotSig	Actinobacteria	-
OTU_514	8.071	0.996380294	NotSig	Actinobacteria	-
OTU_52	11.761	0.678136169	NotSig	Actinobacteria	-
OTU_541	9.289	0.839959742	NotSig	Actinobacteria	-
OTU_572	7.788	0.824994469	NotSig	Actinobacteria	-
OTU_580	8.352	1	NotSig	Actinobacteria	-
OTU_611	8.092	0.658812062	NotSig	Actinobacteria	-
OTU_614	7.094	0.393147693	NotSig	Actinobacteria	-
OTU_627	7.796	0.996380294	NotSig	Actinobacteria	-
OTU_629	8.36	0.025420438	Enriched	Actinobacteria	-
OTU_635	7.792	0.683351686	NotSig	Actinobacteria	-
OTU_652	8.122	0.822823633	NotSig	Actinobacteria	-
OTU_663	5.808	0.617876639	NotSig	Actinobacteria	-
OTU_685	7.54	0.966442173	NotSig	Actinobacteria	-
OTU_696	5.979	0.237752251	NotSig	Actinobacteria	-
OTU_749	7.787	0.832500263	NotSig	Actinobacteria	-
OTU_752	5.86	0.426442858	NotSig	Actinobacteria	-
OTU_766	7.539	0.393701404	NotSig	Actinobacteria	-
OTU_777	7.565	0.794734828	NotSig	Actinobacteria	-
OTU_856	7.601	0.706772468	NotSig	Actinobacteria	-
OTU_860	7.267	0.564461162	NotSig	Actinobacteria	-
OTU_875	7.6	0.649877882	NotSig	Actinobacteria	-
OTU_877	6.791	0.996380294	NotSig	Actinobacteria	-
OTU_906	7.676	0.990465153	NotSig	Actinobacteria	-
OTU_926	7.787	1	NotSig	Actinobacteria	-
OTU_941	7.273	0.991666739	NotSig	Actinobacteria	-
OTU_963	7.273	0.652954495	NotSig	Actinobacteria	-
OTU_1022	7.482	0.996380294	NotSig	Actinobacteria	-
OTU_2668	6.474	0.990465153	NotSig	Actinobacteria	-
OTU_262	9.218	0.528318242	NotSig	Actinobacteria	-
OTU_1013	7.521	0.421520512	NotSig	Actinobacteria	-
OTU_1309	7.369	0.523254746	NotSig	Actinobacteria	-
OTU_1392	6.378	0.800438505	NotSig	Actinobacteria	-
OTU_1533	6.88	0.766774199	NotSig	Actinobacteria	-
OTU_1650	6.741	0.598994417	NotSig	Actinobacteria	-
OTU_1959	6.706	0.786910188	NotSig	Actinobacteria	-
OTU_2229	6.453	0.394844855	NotSig	Actinobacteria	-
OTU_2385	6.622	0.985945562	NotSig	Actinobacteria	-
OTU_2428	6.633	0.473816568	NotSig	Actinobacteria	-
OTU_275	9.309	0.996380294	NotSig	Actinobacteria	-
OTU_3049	6.211	0.56390154	NotSig	Actinobacteria	-
OTU_3087	6.402	0.839959742	NotSig	Actinobacteria	-
OTU_3217	6.124	0.897658297	NotSig	Actinobacteria	-
OTU_3265	5.807	0.598994417	NotSig	Actinobacteria	-
OTU_411	9.058	0.992170386	NotSig	Actinobacteria	-
OTU_461	8.369	0.523840049	NotSig	Actinobacteria	-
OTU_590	7.843	0.318059058	NotSig	Actinobacteria	-
OTU_697	7.936	0.459215716	NotSig	Actinobacteria	-
OTU_733	7.738	0.996380294	NotSig	Actinobacteria	-
OTU_782	7.476	0.931862187	NotSig	Actinobacteria	-
OTU_823	7.289	0.931862187	NotSig	Actinobacteria	-
OTU_953	7.153	0.898709127	NotSig	Actinobacteria	-
OTU_1688	6.734	0.617876639	NotSig	Actinobacteria	-
OTU_209	9.714	0.992494735	NotSig	Actinobacteria	-
OTU_2257	6.697	0.25472803	NotSig	Actinobacteria	-
OTU_1027	7.149	0.626338869	NotSig	Actinobacteria	-
OTU_120	10.619	0.094401509	Enriched	Actinobacteria	-
OTU_1674	7.144	0.451279135	NotSig	Actinobacteria	-
OTU_2211	7.032	0.531433566	NotSig	Actinobacteria	-
OTU_278	9.351	0.318059058	NotSig	Actinobacteria	-
OTU_2915	6.347	0.707247592	NotSig	Actinobacteria	-
OTU_310	9.331	0.073771118	Enriched	Actinobacteria	-
OTU_443	8.361	0.959147486	NotSig	Actinobacteria	-
OTU_683	8.067	0.264697193	NotSig	Actinobacteria	-
OTU_833	7.385	0.890584436	NotSig	Actinobacteria	-
OTU_21	12.527	0.552483727	NotSig	Actinobacteria	-
OTU_1562	6.932	0.544402939	NotSig	Actinobacteria	-
OTU_2225	6.37	0.202200403	NotSig	Actinobacteria	-
OTU_1174	7.152	0.839959742	NotSig	Actinobacteria	-
OTU_1241	7.115	1	NotSig	Actinobacteria	-
OTU_125	10.338	0.868166427	NotSig	Actinobacteria	-
OTU_1294	7.201	0.920424377	NotSig	Actinobacteria	-
OTU_1296	7.303	0.598994417	NotSig	Actinobacteria	-
OTU_1327	6.919	0.774745067	NotSig	Actinobacteria	-
OTU_138	10.406	0.440024598	NotSig	Actinobacteria	-
OTU_1390	6.835	0.774745067	NotSig	Actinobacteria	-
OTU_1394	6.834	0.862522174	NotSig	Actinobacteria	-
OTU_1449	6.921	0.651606008	NotSig	Actinobacteria	-
OTU_1486	6.724	0.426324676	NotSig	Actinobacteria	-
OTU_1496	7.009	0.583346707	NotSig	Actinobacteria	-
OTU_151	9.937	0.646482373	NotSig	Actinobacteria	-
OTU_1538	6.919	0.617876639	NotSig	Actinobacteria	-
OTU_1555	6.682	0.972204136	NotSig	Actinobacteria	-
OTU_1571	7.053	0.989938407	NotSig	Actinobacteria	-
OTU_1601	6.808	0.992170386	NotSig	Actinobacteria	-
OTU_1608	6.775	0.806769952	NotSig	Actinobacteria	-
OTU_1624	6.749	0.806912348	NotSig	Actinobacteria	-
OTU_1629	6.521	0.42811341	NotSig	Actinobacteria	-
OTU_1731	6.681	0.583346707	NotSig	Actinobacteria	-
OTU_1747	7.088	0.523840049	NotSig	Actinobacteria	-
OTU_1749	7.277	0.833770872	NotSig	Actinobacteria	-
OTU_1799	6.656	0.996380294	NotSig	Actinobacteria	-
OTU_1803	6.983	0.996380294	NotSig	Actinobacteria	-
OTU_1823	6.286	0.991666739	NotSig	Actinobacteria	-
OTU_1827	6.75	0.981043252	NotSig	Actinobacteria	-
OTU_1851	6.642	0.996380294	NotSig	Actinobacteria	-
OTU_1879	6.749	0.251998132	NotSig	Actinobacteria	-
OTU_1882	6.752	0.639933685	NotSig	Actinobacteria	-
OTU_1922	6.455	0.598994417	NotSig	Actinobacteria	-
OTU_1923	6.645	0.93546563	NotSig	Actinobacteria	-
OTU_1945	6.647	0.815001318	NotSig	Actinobacteria	-
OTU_195	9.743	0.820160723	NotSig	Actinobacteria	-
OTU_2072	5.807	0.598994417	NotSig	Actinobacteria	-
OTU_2109	7.17	0.898709127	NotSig	Actinobacteria	-
OTU_2195	5.747	1	NotSig	Actinobacteria	-
OTU_2262	6.423	0.786755841	NotSig	Actinobacteria	-
OTU_2280	6.241	0.996380294	NotSig	Actinobacteria	-
OTU_2304	6.567	0.251931478	NotSig	Actinobacteria	-
OTU_2361	6.434	0.891858782	NotSig	Actinobacteria	-
OTU_2396	6.294	0.513182561	NotSig	Actinobacteria	-
OTU_241	9.393	0.839959742	NotSig	Actinobacteria	-
OTU_2424	6.417	0.996380294	NotSig	Actinobacteria	-
OTU_2444	6.783	0.706945696	NotSig	Actinobacteria	-
OTU_2449	6.548	0.96477425	NotSig	Actinobacteria	-
OTU_2530	6.379	0.953707437	NotSig	Actinobacteria	-
OTU_2537	6.399	0.898709127	NotSig	Actinobacteria	-
OTU_2575	6.283	0.989938407	NotSig	Actinobacteria	-
OTU_2643	6.244	0.993243173	NotSig	Actinobacteria	-
OTU_2786	5.859	0.996380294	NotSig	Actinobacteria	-
OTU_283	9.055	0.598994417	NotSig	Actinobacteria	-
OTU_2849	6.392	0.84663434	NotSig	Actinobacteria	-
OTU_3018	6.373	0.7746874	NotSig	Actinobacteria	-
OTU_3139	6.113	0.558954766	NotSig	Actinobacteria	-
OTU_321	9.04	0.714998807	NotSig	Actinobacteria	-
OTU_3214	6.696	0.991666739	NotSig	Actinobacteria	-
OTU_3243	6.246	0.996380294	NotSig	Actinobacteria	-
OTU_3245	6.631	0.390382875	NotSig	Actinobacteria	-
OTU_3288	6.016	0.918621318	NotSig	Actinobacteria	-
OTU_356	8.83	0.838977187	NotSig	Actinobacteria	-
OTU_368	8.827	0.617876639	NotSig	Actinobacteria	-
OTU_388	8.753	0.916798249	NotSig	Actinobacteria	-
OTU_463	8.4	0.791319954	NotSig	Actinobacteria	-
OTU_464	8.483	0.996380294	NotSig	Actinobacteria	-
OTU_59	11.591	0.657000131	NotSig	Actinobacteria	-
OTU_599	8.22	0.882071043	NotSig	Actinobacteria	-
OTU_636	7.936	0.980045572	NotSig	Actinobacteria	-
OTU_704	8.126	0.97819668	NotSig	Actinobacteria	-
OTU_726	7.96	0.961026378	NotSig	Actinobacteria	-
OTU_772	7.655	0.960159549	NotSig	Actinobacteria	-
OTU_791	7.318	0.966442173	NotSig	Actinobacteria	-
OTU_797	7.974	0.209707866	NotSig	Actinobacteria	-
OTU_817	7.668	1	NotSig	Actinobacteria	-
OTU_826	7.7	0.652954495	NotSig	Actinobacteria	-
OTU_837	7.424	0.767098343	NotSig	Actinobacteria	-
OTU_839	7.867	0.264697193	NotSig	Actinobacteria	-
OTU_845	7.343	0.882734537	NotSig	Actinobacteria	-
OTU_855	8.223	0.894612664	NotSig	Actinobacteria	-
OTU_87	10.939	0.421178029	NotSig	Actinobacteria	-
OTU_949	7.787	0.645544652	NotSig	Actinobacteria	-
OTU_985	7.237	0.525609997	NotSig	Actinobacteria	-
